node_id,H_m,VEI,Wc,Wb,face_id,hwc,hwb
n00265,133.894068,0.9800248562524225,13.797188051885348,13.921918022042629,f14,9.704446115866613,9.617501538796953
n00266,134.940078091872,0.9802749331587273,39.3175380545563,14.410783380500366,f14,3.432058179854283,9.363826693451184
n00267,69.03262800000002,0.8843295046197203,66.95645023963871,31.53535094873804,f15,1.0310078827794875,2.189055327534337
n00268,64.40881200000001,0.9158744603519063,30.255206870162883,30.49903733597947,f15,2.1288504909718124,2.1118309830722906
n00269,56.388000000000005,0.9384076257447992,30.373111600036943,30.473903614418912,f15,1.856510480142292,1.850370097427219
n00270,34.942272,0.9373231181487219,30.060339658762526,30.57405629685858,f15,1.1624044304440986,1.1428732799052983
n00271,19.699224,0.9286648141011012,30.74298201308548,34.05111495998032,f15,0.6407714122076772,0.5785192062918396
n00272,21.425916,0.9201551936260267,30.60931335409169,31.39002902256678,f15,0.6999802887488131,0.6825707610718225
n00273,21.425916,0.8922936252977007,30.727346053053154,30.87121726509205,f15,0.6972914602844805,0.6940418259511775
n00274,29.789647366992,0.7990303351816487,30.845491249188814,31.08602091637824,f15,0.9657699119243374,0.9582972181330799
n00275,85.958957801832,0.842386350529492,,,f15,,
n00276,49.124616,0.8553571614401322,107.82602610115947,54.167902761452346,f15,0.4555914539029066,0.9068952921499979
n00277,52.114703999999996,0.9004075068634052,38.47880183642458,41.23279264688857,f15,1.3543743961036614,1.2639140027769276
n00278,59.103768,0.9229561412530447,35.20271054487711,35.320734240499945,f15,1.6789550317340864,1.673344829061612
n00279,63.887703986592,0.9187457773136053,34.35774760882537,35.09142467545326,f15,1.859484641251086,1.8206073015690918
n00280,61.495735993296,0.919158099808258,34.39719906697095,34.5769680832648,f15,1.7878123120886824,1.7785173021882112
n00281,59.103768,0.903202373586634,32.79773216802958,34.6278038932265,f15,1.8020687435704135,1.7068298117386882
n00282,50.46878400000001,0.8755562157023699,34.91050282123035,35.12398378664707,f15,1.4456619046262518,1.436875278913735
n00283,50.46878400000001,0.8393304484875017,91.04682403790355,84.8985404738132,f15,0.5543167983431189,0.5944599720835838
n00284,20.206716,0.9029837491290315,33.8023123700736,33.72131271017409,f15,0.5977909374593476,0.5992268502021694
n00285,34.64052,0.9261678327651764,33.338302575013245,33.88101141178522,f15,1.0390606996878946,1.0224169396534188
n00286,46.9392,0.8949027602035112,34.16530365161633,34.92086201516402,f15,1.3738850524684083,1.3441592587152387
n00287,49.901856,0.9082053067693295,29.414160967572037,31.310014269983068,f15,1.6965248832021709,1.5937985709524556
n00288,49.901856,0.9212481047892108,30.700092852567195,30.837166093136315,f15,1.625462705915794,1.618237416800342
n00289,50.292,0.8750560240664014,30.709209797122746,36.941841096190366,f15,1.6376846012075517,1.3613831500451767
n00290,60.496704,0.8082321806556619,54.88597583014199,37.039901673560195,f15,1.1022251692713232,1.6332846812923298
n00291,83.588352,0.8227102709797851,,,f15,,
n00292,17.913096000000003,0.892336646008751,30.69663433670904,30.691881613214036,f15,0.5835524443335586,0.5836428090576149
n00293,17.754600000000003,0.9021663011273394,30.60866875596314,30.7481357598923,f15,0.58005136197049,0.5774203723647859
n00294,17.913096000000003,0.8749382907821146,30.07264588445082,30.9673424679224,f15,0.5956607898363223,0.5784511867156612
n00295,17.913096000000003,0.8323712050203312,31.84627650041424,31.117686077372795,f15,0.5624863553441483,0.5756564275203451
n00296,64.008404463504,0.8915579693478789,30.42230983830823,30.565923737501233,f15,2.1039955481257917,2.094109931478115
n00297,17.399508000000004,0.8967856107193763,30.334887250704917,30.475640840375497,f15,0.573580770424511,0.5709316529596435
