node_id,osm_name,H_m,VEI,face_id,cone,band,bandperp,cone_ok,cone_hw,band_ok,band_hw,bandperp_ok,bandperp_hw
n00230,Park Avenue,97.249488,0.8650692457735244,f11,43.318347679386406,43.31834767954977,41.88326308379658,True,2.2449953243779293,True,2.2449953243694627,True,2.321917654921758
n00231,Park Avenue,126.650496,0.9023507712505554,f11,50.42310662994945,44.38693337988845,40.996085569441306,True,2.5117551151593327,True,2.8533283639140716,True,3.089331438375325
n00232,Park Avenue,126.650496,0.9104727244806863,f11,43.165443072556556,43.064898143209845,41.19007520360578,True,2.934071492955925,True,2.9409217590351906,True,3.0747818588326594
n00233,Park Avenue,145.173192,0.8892249693585603,f11,74.86185710425876,43.571808414544925,41.222267513950825,True,1.9392144092527641,True,3.3318147050224107,True,3.521717769428116
n00234,Park Avenue,145.173192,0.9115001114402579,f11,81.32614666736737,83.87059937885232,82.39227392200077,True,1.7850740253780113,True,1.7309187376167114,True,1.7619757908057345
n00236,Park Avenue,168.696132,0.9017759926033986,f11,67.07638554140877,64.19903067564188,61.197927867129295,True,2.5149854250249897,True,2.6277052819117714,True,2.756566077960464
n00238,Park Avenue,168.696132,0.9036305612055116,f11,43.946221191266204,43.90357769176542,42.08917375614226,True,3.8386948280669553,True,3.8424233483741976,True,4.008064709879971
n00240,Park Avenue,123.559824,0.8833149801134619,f11,76.59707739300818,55.95018071312606,52.53912752436456,True,1.6131140796147219,True,2.2083900789084057,True,2.3517677171685087
n00241,Park Avenue,109.441488,0.9469095892536378,f11,72.7880876318692,62.86269139604646,60.1511715125465,True,1.5035631730497978,True,1.7409609033520155,True,1.819440673357
n00242,Park Avenue,45.84192,0.9251055441511155,f12,49.64093399183788,49.64093399179821,47.04628623409411,True,0.9234701346984622,True,0.9234701346992004,True,0.9744003973427064
n00243,Park Avenue,45.84192,0.9745055366795008,f12,47.41812673562203,47.418126735459296,44.91632881899041,True,0.9667594052289304,True,0.9667594052322483,True,1.0206070087504182
n00244,Park Avenue,45.84192,0.9437268298579743,f12,47.82185946516303,47.82185946566375,46.33071611613309,True,0.9585976060465536,True,0.9585976060365167,True,0.9894498475933792
n00245,Park Avenue,45.84192,0.9762455710901533,f12,68.39576056177854,55.07642428462139,47.93063964677288,True,0.6702450506211308,True,0.8323329009722973,True,0.9564220368815063
n00250,Tunnel Exit Street,17.319570016620002,0.8234492267688703,f13,46.04248733904347,21.47204518963474,15.909530534940014,True,0.3761649514954249,True,0.8066101698118968,True,1.088628604004581
n00251,Tunnel Exit Street,30.522672,0.8178729293622234,f14,,18.033339863932504,14.277170322799908,False,,True,1.6925689988822716,True,2.137865649137551
n00252,Tunnel Exit Street,20.04822,0.9274805729672497,f14,14.791539046967813,14.79153904717333,12.557400277992933,True,1.355384313717495,True,1.355384313698663,True,1.5965263156526803
n00253,Tunnel Exit Street,17.849088000000002,0.9496733314006058,f14,14.372667556520511,14.372667556417746,10.990763085325142,True,1.241877190146399,True,1.2418771901552785,True,1.6240080749108394
n00254,Tunnel Exit Street,14.673072000000001,0.9418574545991935,f14,14.080705623652818,14.080705623652818,13.213163696686149,True,1.0420693672731942,True,1.0420693672731942,True,1.1104889288308746
n00255,Tunnel Exit Street,14.673072000000001,0.877828112447445,f14,92.02403427539548,20.70243258714921,17.779573642394574,True,0.15944825844179653,True,0.7087607670370165,True,0.8252769326826115
n00256,Tunnel Exit Street,19.05762,0.903588095342027,f14,18.606699109111013,14.231043369652456,11.670833419775231,True,1.024234330240133,True,1.3391583108122744,True,1.6329270853706548
n00257,Tunnel Exit Street,19.05762,0.8877534900103079,f14,23.115891258280968,16.783840169342124,13.772962020115935,True,0.8244380364599982,True,1.135474349595585,True,1.3836979999048586
n00258,Tunnel Exit Street,19.821144,0.8703325652558277,f14,23.35628936201254,23.356289361880997,21.906011515417795,True,0.8486426800413673,True,0.848642680046147,True,0.9048266949941831
n00259,Tunnel Exit Street,19.821144,0.9091013121701411,f14,63.595556546345655,14.755961174963065,12.961244878136192,True,0.3116749829141792,True,1.3432634963577432,True,1.529262365333094
n00260,Tunnel Exit Street,88.503252,0.9457859203411518,f14,14.003146336238956,14.003146336240704,11.35754738200504,True,6.320240457029367,True,6.320240457028578,True,7.792461613695316
n00261,Tunnel Exit Street,88.503252,0.9499754262580132,f14,14.04084881814066,14.040848818243141,11.410847311389075,True,6.303269349760004,True,6.303269349713998,True,7.756063120016129
n00262,Tunnel Exit Street,133.894068,0.9255622249127831,f14,14.078292209814911,14.078292209781264,12.486997359699128,True,9.510675443052216,True,9.510675443074948,True,10.722679291350964
n00263,Tunnel Exit Street,133.894068,0.9463748601763798,f14,16.624531527069898,14.205851990607371,12.774436058456915,True,8.054005478709515,True,9.425275449056356,True,10.48140735037455
n00264,Tunnel Exit Street,133.894068,0.9778396600236345,f14,13.828152666562708,13.828152667104657,11.248430232840965,True,9.682715488364819,True,9.682715487985337,True,11.903355866410791
n00265,Tunnel Exit Street,133.894068,0.9800248562524225,f14,13.797188051885348,13.79718805168013,11.21719437418065,True,9.704446115866613,True,9.704446116010955,True,11.936502438452234
n00266,Tunnel Exit Street,134.940078091872,0.9802749331587273,f14,39.3175380545563,14.17132955429367,12.404748813311908,True,3.432058179854283,True,9.522047848431235,True,10.878098389792767
n00267,East 34th Street,69.03262800000002,0.8843295046197203,f15,66.95645023963871,32.76242986499345,30.84956079426133,True,1.0310078827794875,True,2.107066792190562,True,2.237718340963919
n00268,East 34th Street,64.40881200000001,0.9158744603519063,f15,30.255206870162883,30.255206870211985,29.467374793263875,True,2.1288504909718124,True,2.1288504909683574,True,2.1857668846267098
n00269,East 34th Street,56.388000000000005,0.9384076257447992,f15,30.373111600036943,30.373111600425027,28.831052396190444,True,1.856510480142292,True,1.856510480118571,True,1.9558078985507572
n00270,East 34th Street,34.942272,0.9373231181487219,f15,30.060339658762526,30.06033965892781,28.83097555594339,True,1.1624044304440986,True,1.1624044304377072,True,1.2119698111566952
n00271,East 34th Street,19.699224,0.9286648141011012,f15,30.74298201308548,30.742982013247776,29.104276427673767,True,0.6407714122076772,True,0.6407714122042945,True,0.6768498110218957
n00272,East 34th Street,21.425916,0.9201551936260267,f15,30.60931335409169,30.60931335381622,29.628727841995318,True,0.6999802887488131,True,0.6999802887551125,True,0.7231466742095901
n00273,East 34th Street,21.425916,0.8922936252977007,f15,30.727346053053154,30.727346053163345,28.919623768102355,True,0.6972914602844805,True,0.69729146028198,True,0.7408781031111569
n00274,East 34th Street,29.789647366992,0.7990303351816487,f15,30.845491249188814,30.845491249623343,29.59223894407218,True,0.9657699119243374,True,0.9657699119107322,True,1.006670952586349
n00275,East 34th Street,85.958957801832,0.842386350529492,f15,,,,False,,False,,False,
n00276,East 34th Street,49.124616,0.8553571614401322,f15,107.82602610115947,53.20846391875811,50.10352599605041,True,0.4555914539029066,True,0.9232481523053631,True,0.9804622533725955
n00277,East 34th Street,52.114703999999996,0.9004075068634052,f15,38.47880183642458,36.04129276371816,32.4390552930205,True,1.3543743961036614,True,1.44597210598568,True,1.6065419763075792
n00278,East 34th Street,59.103768,0.9229561412530447,f15,35.20271054487711,34.48573578031308,30.53278034380389,True,1.6789550317340864,True,1.713861301278677,True,1.9357479841168186
n00279,East 34th Street,63.887703986592,0.9187457773136053,f15,34.35774760882537,34.357747608673655,32.00879573205324,True,1.859484641251086,True,1.859484641259297,True,1.9959421317002437
n00280,East 34th Street,61.495735993296,0.919158099808258,f15,34.39719906697095,34.39719906767423,32.517504288816845,True,1.7878123120886824,True,1.787812312052129,True,1.891157926730715
