node_id,osm_name,chain,chain_pos_m,GVI_al,VEI_al,dwell
n00029,1st Avenue,1st Avenue#1,20.0,0.0,0.5593038831752344,0.4436694889926087
n00030,1st Avenue,1st Avenue#1,40.0,0.1900392824759325,0.5828240738693082,0.44742067668489927
n00031,1st Avenue,1st Avenue#1,60.0,0.51626892768487,0.615783476159803,0.4524067002967447
n00032,1st Avenue,1st Avenue#1,80.0,0.9641256142383423,0.5883454053414708,0.48550897555062006
n00033,1st Avenue,1st Avenue#1,100.0,1.1084633500515464,0.618380553715217,0.4817519176444057
n00034,1st Avenue,1st Avenue#1,120.0,0.921070455542494,0.6327995533815205,0.46560040255995455
n00035,1st Avenue,1st Avenue#1,140.0,0.9076611231506663,0.6188676614912909,0.47122229919617126
n00036,1st Avenue,1st Avenue#1,160.0,1.3015709630235894,0.6150132086481013,0.49309265229614296
n00038,1st Avenue,1st Avenue#2,20.0,1.3635176728703278,0.5637281507969384,0.5127769958728905
n00039,1st Avenue,1st Avenue#2,40.0,2.362636400014791,0.5865810298276835,0.5579505248601445
n00040,1st Avenue,1st Avenue#2,60.0,1.7748322015237843,0.5981086890120249,0.5239040449216865
n00041,1st Avenue,1st Avenue#2,80.0,1.5349126059699856,0.6168436038534217,0.5043229369795144
n00042,1st Avenue,1st Avenue#2,100.0,1.6676164960024589,0.6101146744092228,0.5138930941546913
n00043,1st Avenue,1st Avenue#2,120.0,1.805686701362569,0.6062087453935037,0.5225110535492655
n00044,2nd Avenue,2nd Avenue#0,0.0,3.9206886063499917,0.572199358318664,0.6421475987573825
n00045,2nd Avenue,2nd Avenue#0,20.0,6.388493212837579,0.584708269724717,0.7654643172048379
n00046,2nd Avenue,2nd Avenue#0,40.0,4.655250319290382,0.6224917461406791,0.6622807453632018
n00047,2nd Avenue,2nd Avenue#0,60.0,5.205471040947591,0.6046059855736126,0.6978743619947589
n00048,2nd Avenue,2nd Avenue#0,80.0,2.4127494215458176,0.6185842542092002,0.548707714434283
n00049,2nd Avenue,2nd Avenue#0,100.0,2.4667891872898773,0.718474047969194,0.4908818252167659
n00050,2nd Avenue,2nd Avenue#0,120.0,4.765039426997321,0.7542284109671589,0.5785939629796946
n00051,2nd Avenue,2nd Avenue#0,140.0,3.0957052643112366,0.7298932194103886,0.5139932895903747
n00052,2nd Avenue,2nd Avenue#0,160.0,1.8816660353742076,0.6412655136565838,0.5108003639191678
n00053,2nd Avenue,2nd Avenue#0,180.0,0.6867512333542567,0.6856877476613492,0.4232363743888324
n00054,2nd Avenue,2nd Avenue#1,780.0,1.6045379596808718,0.9161631926263492,0.2207309318822744
n00055,2nd Avenue,2nd Avenue#1,800.0,1.7701099338219102,0.8544281016600959,0.3148721758543798
n00056,2nd Avenue,2nd Avenue#1,820.0,0.9255438730059963,0.8237085548050717,0.30895763163893586
n00057,2nd Avenue,2nd Avenue#1,840.0,2.2313968243846105,0.914951532630208,0.2547652718786344
n00058,2nd Avenue,2nd Avenue#1,860.0,1.3159447107183022,0.920962925954355,0.19866434478288802
n00059,2nd Avenue,2nd Avenue#1,880.0,0.8724510213331702,0.8721505509964743,0.2455527147696352
n00060,2nd Avenue,2nd Avenue#1,900.0,1.302417603373719,0.9086938699689084,0.2162914170181016
n00061,2nd Avenue,2nd Avenue#1,920.0,3.1932764107753675,0.9100042674004922,0.31155393192501235
n00062,2nd Avenue,2nd Avenue#1,940.0,6.335706540284972,0.8907830685567523,0.5007863376964599
n00063,2nd Avenue,2nd Avenue#1,960.0,4.406010848681934,0.8588374344285945,0.44470124441665004
n00064,2nd Avenue,2nd Avenue#1,980.0,1.2155000349914376,0.842973508714817,0.3007434285099807
n00065,2nd Avenue,2nd Avenue#1,1000.0,1.680787856872078,0.8591291809313046,0.3042427773850867
