file,node_id,cardinal,seq,street,direction,a_sidewalk_shed,a_sidewalk_shed__crop,scaffolding,scaffolding__crop,construction_scaffolding_on_a_building_facade,construction_scaffolding_on_a_building_facade__crop,a_green_wooden_shed_over_the_sidewalk,a_green_wooden_shed_over_the_sidewalk__crop,metal_scaffold_poles,metal_scaffold_poles__crop,a_construction_fence,a_construction_fence__crop,a_plywood_construction_barrier,a_plywood_construction_barrier__crop,a_street_tree,a_street_tree__crop
east_40th_street/west_to_east/17_n00565_E.jpg,n00565,E,17,east_40th_street,west_to_east,0.17692,1,0.4134,3,0.36299,3,0.16399,1,0.21108,3,0.12638,1,0.24077,0,0.37591,1
east_40th_street/west_to_east/18_n00566_E.jpg,n00566,E,18,east_40th_street,west_to_east,0.19523,3,0.24827,0,0.2878,0,0.17032,0,0.21811,3,0.35012,2,0.14809,3,0.62397,2
east_40th_street/west_to_east/19_n00567_E.jpg,n00567,E,19,east_40th_street,west_to_east,0.25146,3,0.25713,3,0.31002,3,0.16572,3,0.19375,3,0.35882,2,0.136,3,0.4397,3
east_40th_street/west_to_east/20_n00568_E.jpg,n00568,E,20,east_40th_street,west_to_east,0.2377,3,0.62563,0,0.26046,0,0.13398,3,0.34658,0,0.18901,2,0.29796,0,0.58158,0
east_40th_street/west_to_east/21_n00569_E.jpg,n00569,E,21,east_40th_street,west_to_east,0.22765,3,0.25661,2,0.28264,1,0.11974,3,0.16341,3,0.47208,2,0.1828,3,0.33267,0
east_40th_street/west_to_east/22_n00570_E.jpg,n00570,E,22,east_40th_street,west_to_east,0.19492,3,0.21846,0,0.25287,0,0.10141,0,0.15252,0,0.14303,3,0.13451,3,0.38997,1
east_40th_street/west_to_east/23_n00571_E.jpg,n00571,E,23,east_40th_street,west_to_east,0.15722,1,0.26156,1,0.27695,1,0.0836,1,0.12907,3,0.12858,3,0.0914,3,0.48781,0
east_40th_street/west_to_east/24_n00572_E.jpg,n00572,E,24,east_40th_street,west_to_east,0.11928,3,0.26194,1,0.33139,1,0.06525,0,0.19007,3,0.10858,3,0.12387,3,0.3597,3
east_40th_street/west_to_east/25_n00573_E.jpg,n00573,E,25,east_40th_street,west_to_east,0.14684,3,0.28907,2,0.29718,2,0.0937,0,0.17938,3,0.14335,1,0.09473,3,0.35428,3
east_40th_street/west_to_east/26_n00574_E.jpg,n00574,E,26,east_40th_street,west_to_east,0.10251,3,0.22549,0,0.2353,1,0.05611,1,0.22893,0,0.1625,0,0.09723,0,0.37294,2
east_40th_street/west_to_east/27_n00575_E.jpg,n00575,E,27,east_40th_street,west_to_east,0.14134,3,0.31592,1,0.21447,3,0.11619,3,0.11212,3,0.19512,0,0.094,3,0.41026,1
east_40th_street/west_to_east/28_n00576_E.jpg,n00576,E,28,east_40th_street,west_to_east,0.14299,3,0.61401,2,0.46877,2,0.09139,2,0.33191,0,0.23607,2,0.3279,0,0.26914,3
east_40th_street/west_to_east/29_n00577_E.jpg,n00577,E,29,east_40th_street,west_to_east,0.20744,1,0.37563,3,0.32962,1,0.14798,1,0.18354,2,0.18965,1,0.21856,1,0.32837,2
east_40th_street/west_to_east/30_n00578_E.jpg,n00578,E,30,east_40th_street,west_to_east,0.18037,2,0.2911,1,0.36247,2,0.12557,2,0.14271,3,0.13058,2,0.14798,3,0.34143,3
east_40th_street/west_to_east/31_n00579_E.jpg,n00579,E,31,east_40th_street,west_to_east,0.13907,3,0.58689,2,0.38394,2,0.09894,3,0.2311,2,0.3509,2,0.13127,3,0.30468,3
east_40th_street/west_to_east/32_n00580_E.jpg,n00580,E,32,east_40th_street,west_to_east,0.17463,3,0.21588,3,0.25593,1,0.1373,3,0.19158,2,0.31007,3,0.17055,2,0.41364,3
east_40th_street/west_to_east/33_n00581_E.jpg,n00581,E,33,east_40th_street,west_to_east,0.17279,2,0.30189,0,0.2189,1,0.10032,3,0.30049,0,0.21619,1,0.16456,0,0.46756,2
east_40th_street/west_to_east/34_n00582_E.jpg,n00582,E,34,east_40th_street,west_to_east,0.13568,2,0.18551,1,0.30055,1,0.09796,2,0.13456,1,0.18199,3,0.22482,2,0.43228,2
east_40th_street/west_to_east/35_n00583_E.jpg,n00583,E,35,east_40th_street,west_to_east,0.16197,1,0.24157,1,0.27027,3,0.11596,1,0.20755,3,0.1996,1,0.20702,1,0.32881,3
