node_id,street_axis_deg,GVI,VEI,osm_name,typology,northing_m,lat,lon,chain,chain_pos_m,street_segment,cross_dist,along_dist,mapping_id,scaffold_frac,SVF_band,BVF_band,sky_of_pair,sky_veg_residual,face_id
n00072,28.199406784442107,3.1940337527401472,0.910009870102063,2nd Avenue,avenue_secondary,534.727597589243,40.748874,-73.972912,2nd_avenue,520.0301831001839,2nd_avenue,233.9876808657828,191.6084860825462,2nd_avenue_027,0.0020903279073536,0.043862634648946276,0.4435534264090096,0.08999012989793698,0.0461274952489907,f2
n00073,28.44550864924279,1.3024582975018408,0.9087788567856553,2nd Avenue,avenue_secondary,554.6641171595672,40.749032,-73.972798,2nd_avenue,540.0376803854695,2nd_avenue,233.89693737687608,211.6193940528012,2nd_avenue_028,0.0588378906249999,0.045079341704960495,0.4490971191078182,0.09122114321434471,0.04614180150938422,f2
n00074,28.697713348499125,0.8732934442413891,0.871343132897917,2nd Avenue,avenue_secondary,574.5857283107986,40.749188999999994,-73.972682,2nd_avenue,560.0300854921176,2nd_avenue,234.0076757845126,231.61501559203293,2nd_avenue_029,0.0581155561571904,0.06130962616722313,0.4152263532032127,0.12865686710208302,0.06734724093485989,f2
n00075,28.876390148132316,1.3159188053200541,0.9209137187058226,2nd Avenue,avenue_secondary,594.4515450230034,40.749345,-73.972565,2nd_avenue,579.9674662041523,2nd_avenue,234.24607423857643,251.5544305796251,2nd_avenue_030,0.1722603710368275,0.04026970262868467,0.4689172507810148,0.07908628129417739,0.038816578665492714,f2
n00076,28.976062074821815,2.2316793341570054,0.9149757913851817,2nd Avenue,avenue_secondary,614.4140421973914,40.749502,-73.972448,2nd_avenue,600.0013433997974,2nd_avenue,234.4306344988094,271.59097223994604,2nd_avenue_031,0.0981505821691825,0.04081842477118674,0.43926160697723937,0.0850242086148183,0.04420578384363156,f2
n00077,28.897202518959634,3.1400561196039383,0.8919055388429941,2nd Avenue,avenue_secondary,634.3765393724664,40.74965900000001,-73.972331,2nd_avenue,620.0352099699767,2nd_avenue,234.61519475904225,291.62751390026693,2nd_avenue_032,0.0041181072592735,0.05276927833916896,0.4354081710356163,0.10809446115700594,0.05532518281783698,f2
n00078,28.89720251895966,1.310624035155435,0.8495892437519666,2nd Avenue,avenue_secondary,654.283242105186,40.749815,-73.972213,2nd_avenue,640.0145223004912,2nd_avenue,234.92741506465347,311.6078490083668,2nd_avenue_033,0.0024837777018547,0.07436065382671912,0.4200232298903166,0.15041075624803335,0.07605010242131423,f2
n00079,28.89720251895963,1.7643122969044327,0.8628622766112855,2nd Avenue,avenue_secondary,674.1639672352156,40.749972,-73.972098,2nd_avenue,659.9656538207882,2nd_avenue,234.9643316207426,331.5625504270908,2nd_avenue_034,0.0075602882432121,0.06485682817303413,0.4080752474834835,0.13713772338871455,0.07228089521568042,f2
n00113,28.525196058240113,0.09043504952783106,0.8830953691589569,3rd Avenue,avenue_secondary,659.0442486264094,40.75080899999998,-73.974447,3rd_avenue,0.0,3rd_avenue,16.49423386860059,316.73621181333186,3rd_avenue_034,0.0397182460874318,0.0595865651656896,0.45011578569079896,0.11690463084104308,0.057318065675353476,f3
n00112,28.525196058240113,0.5667746879122684,0.9362008006803565,3rd Avenue,avenue_secondary,639.0668430349895,40.750651,-73.974562,3rd_avenue,20.048121960864894,3rd_avenue,16.511155504910846,296.68438372198773,3rd_avenue_033,0.0053610051982104,0.03257650909953421,0.4780334898805643,0.06379919931964351,0.031222690220109296,f3
n00111,28.525196058240113,1.7698457432917827,0.9384581091301922,3rd Avenue,avenue_secondary,619.1861179056468,40.750494,-73.974677,3rd_avenue,39.99919832239625,3rd_avenue,16.47423894843918,276.72968230395384,3rd_avenue_032,2.8247673981225e-05,0.0316237685171313,0.4822338343314971,0.06154189086980777,0.02991812235267647,f3
n00110,28.43084270303526,1.6374121400750212,0.9300017123100309,3rd Avenue,avenue_secondary,599.2645067518795,40.750336999999995,-73.97479300000002,3rd_avenue,59.99150583262641,3rd_avenue,16.36350053975363,256.73406076414057,3rd_avenue_031,0.0104960283497348,0.035908862251934126,0.4770874329000103,0.06999828768996907,0.03408942543803495,f3
