node_id,street,street_pos_m,seg_id
n00339,East 39th Street,219.99989297057832,s14
n00340,East 39th Street,239.9998901504034,s14
n00341,East 39th Street,259.99988784105005,s14
n00342,East 39th Street,279.9998874453681,s14
n00343,East 39th Street,299.99988656509663,s14
n00344,East 39th Street,319.99988453632045,s14
n00345,East 39th Street,339.999878774847,s14
n00346,East 39th Street,359.99872965694425,s14
n00347,East 39th Street,379.99675031604056,s14
n00348,East 39th Street,399.99477097469514,s14
n00349,East 39th Street,439.98840545320513,s14
n00350,East 39th Street,459.9846198443325,s14
n00351,East 39th Street,479.9840525445464,s14
n00352,East 39th Street,499.9838311019332,s14
n00353,East 39th Street,519.9836096592176,s14
n00354,East 39th Street,539.9832940047437,s14
n00355,East 39th Street,559.9825425116979,s14
n00356,East 39th Street,579.98183999736,s14
n00357,East 39th Street,599.9776335872556,s14
n00358,East 39th Street,619.9732950367226,s14
n00359,East 39th Street,639.968956486292,s14
n00360,East 39th Street,659.9440202829098,s14
n00361,East 39th Street,679.8467488044777,s14
n00362,East 39th Street,699.8467311473983,s14
n00363,East 39th Street,719.8465151445109,s14
n00364,East 39th Street,739.8459992301277,s14
n00365,East 39th Street,759.8453446433768,s14
n00366,East 39th Street,779.8433019170428,s14
n00367,East 39th Street,799.8412591907088,s14
n00368,East 39th Street,819.8396572530244,s14
n00369,East 39th Street,839.8396541819575,s14
n00370,East 39th Street,859.8396404422128,s14
n00371,East 39th Street,879.839587385931,s14
n00372,East 39th Street,899.8376321605025,s14
n00373,East 40th Street,0.0,s15
n00374,East 40th Street,19.951698476955414,s15
n00375,East 40th Street,39.95109984377041,s15
n00376,East 40th Street,59.95047513433019,s15
n00377,East 40th Street,79.94985042478754,s15
n00378,East 40th Street,99.94922571524489,s15
n00379,East 40th Street,119.94860100580473,s15
n00380,East 40th Street,139.94797629626208,s15
n00381,East 40th Street,159.94569394611824,s15
n00382,East 40th Street,179.94416888818012,s15
n00383,East 40th Street,199.94298052727234,s15
n00384,East 40th Street,219.94240904627736,s15
n00385,East 40th Street,239.94183756517995,s15
n00386,East 40th Street,259.94126608408254,s15
n00387,East 40th Street,279.9407539042539,s15
n00388,East 40th Street,299.9406710054134,s15
n00389,East 40th Street,319.94064407968887,s15
n00390,East 40th Street,339.94059318744905,s15
n00391,East 40th Street,359.940589447852,s15
n00392,East 40th Street,379.9405857083574,s15
n00393,East 40th Street,399.94058196876034,s15
n00394,East 40th Street,419.9405782291633,s15
n00395,East 40th Street,439.94057440865015,s15
n00396,East 40th Street,459.940570505282,s15
n00397,East 40th Street,499.94056566607856,s15
n00398,East 40th Street,519.9405644455748,s15
n00399,East 40th Street,539.9405632249685,s15
n00400,East 40th Street,559.940178552099,s15
n00401,East 40th Street,579.9395055758647,s15
n00402,East 40th Street,599.9394991817207,s15
n00403,East 40th Street,619.9394935075843,s15
n00404,East 40th Street,639.9394847008931,s15
n00405,East 40th Street,659.939476695166,s15
n00406,East 40th Street,679.9390361872588,s15
n00407,East 40th Street,719.9312898882952,s15
n00408,East 40th Street,739.9312646763212,s15
n00409,East 40th Street,759.931239464007,s15
n00410,East 40th Street,779.9312256185035,s15
n00411,East 40th Street,799.9312199012746,s15
n00412,East 40th Street,819.9312178364908,s15
n00413,East 40th Street,839.9312157717069,s15
n00414,East 40th Street,859.931213706923,s15
n00415,East 40th Street,879.9312107241731,s15
n00416,East 40th Street,899.9312069678413,s15
n00417,East 41st Street,0.0,s16
n00418,East 41st Street,19.989837046754985,s16
n00419,East 41st Street,39.98288184701482,s16
n00420,East 41st Street,59.98240465173785,s16
n00421,East 41st Street,79.98198701142695,s16
n00422,East 41st Street,99.98198522760703,s16
n00423,East 41st Street,119.9819834437871,s16
n00424,East 41st Street,139.98198166030676,s16
n00425,East 41st Street,159.98164346426768,s16
n00426,East 41st Street,179.98163597425986,s16
n00427,East 41st Street,199.9527916222945,s16
n00428,East 41st Street,219.95157729929971,s16
n00429,East 41st Street,239.95036297620243,s16
n00430,East 41st Street,259.9491486531051,s16
n00431,East 41st Street,279.9479985855304,s16
n00432,East 41st Street,299.9473918647569,s16
n00433,East 41st Street,319.9463186771589,s16
n00434,East 41st Street,339.9445994771448,s16
n00435,East 41st Street,359.9445994320657,s16
n00436,East 41st Street,379.9445993869865,s16
n00437,East 41st Street,399.9445993418049,s16
n00438,East 41st Street,419.94459929672576,s16
n00439,East 41st Street,439.94455419851846,s16
n00440,East 41st Street,459.94446346152665,s16
n00441,East 41st Street,499.943058577029,s16
n00442,East 41st Street,519.9430162085683,s16
n00443,East 41st Street,539.9429999103077,s16
n00444,East 41st Street,559.9429779041533,s16
n00445,East 41st Street,579.9429159075507,s16
n00446,East 41st Street,599.9427319518423,s16
n00447,East 41st Street,619.9425274677633,s16
n00448,East 41st Street,639.9423273562817,s16
n00449,East 41st Street,659.9421386832445,s16
n00450,East 41st Street,679.9413939394085,s16
n00451,East 41st Street,719.9384999968026,s16
n00452,East 41st Street,739.9384390990765,s16
n00453,East 41st Street,759.9383782013502,s16
