node_id,street_axis_deg,GVI,VEI,osm_name,typology,northing_m,lat,lon,chain,chain_pos_m,street_segment,cross_dist,along_dist,mapping_id,scaffold_frac,SVF_band,BVF_band,sky_of_pair,sky_veg_residual,face_id,H_m,facade_sides_hit,facade_sides_open,facade_empty_bearing,W_facade,HW_facade,HW_assigned,HW_effective,HW_source,HW_ratio,is_tunnel,is_bridge,osm_heading_fwd,osm_heading_rev
n00037,60.77771934985596,2.3622604832921925,0.5898574533034389,1st Avenue,avenue_secondary,585.1761762019634,40.74820999999999,-73.970108,1st_avenue,809.4034477639605,1st_avenue,476.7327136670111,241.8563938791836,1st_avenue_038,0.0125762683455831,0.1945191658214378,0.2797529314973278,0.4101425466965611,0.2156233808751233,f1,,0,1,150.77771934985594,,,,0.5367320941078925,series,,0.0,0.0,28.2,208.2
n00038,61.91161351779886,1.1471308464812764,0.6348132757776395,1st Avenue,avenue_secondary,604.7977712127301,40.748484,-73.970276,1st_avenue,650.3787646574604,1st_avenue,449.5789775335947,261.5945218219697,1st_avenue_039,0.0504281502217054,0.1784660668100163,0.3102320565679551,0.3651867242223605,0.1867206574123441,f1,78.24825600000001,1,1,151.91161351779886,,,4.275860983606558,,open_one_side,,0.0,0.0,29.2,209.2
n00039,173.87465451925164,1.7744910366568585,0.5980649727436176,1st Avenue,avenue_secondary,605.0867181689105,40.748369,-73.969997,1st_avenue,789.4185180417692,1st_avenue,476.3666664289648,261.84166815937255,1st_avenue_040,0.0663517690263688,0.1948195197816385,0.289884490992145,0.4019350272563824,0.2071155074747438,f1,,0,0,,,,,0.5367320941078925,series,,0.0,0.0,28.2,208.2
n00040,60.50317670451228,0.8781171966939291,0.6301954983937154,1st Avenue,avenue_secondary,624.6784963413859,40.74864099999999,-73.970161,1st_avenue,670.3299939156234,1st_avenue,449.61589408968376,281.5492232406938,1st_avenue_041,0.0262925326824188,0.1879660163583521,0.320318808574557,0.3698045016062846,0.1818384852479324,f1,78.24825600000001,1,1,150.50317670451227,,,4.275860983606558,,open_one_side,,0.0,0.0,31.1,211.1
n00041,174.9398399111708,1.5352399000264485,0.6165555665346012,1st Avenue,avenue_secondary,625.0381461583274,40.748528,-73.969885,1st_avenue,769.3938680749385,1st_avenue,476.0744410431325,281.8678625613409,1st_avenue_042,0.0986872827852494,0.1896861224624046,0.305003866248884,0.3834444334653988,0.1937583110029942,f1,,0,0,,,,,0.5367320941078925,series,,0.0,0.0,26.7,206.7
n00042,56.015196537396974,1.056722879100229,0.6083693140264618,1st Avenue,avenue_secondary,644.6559019355536,40.748799,-73.970046,1st_avenue,690.378268121894,1st_avenue,449.5989724533736,301.601051332038,1st_avenue_043,0.0615577349672093,0.1879334001113176,0.2919406415362154,0.3916306859735382,0.2036972858622206,f1,77.27016390691202,1,1,146.01519653739695,,,4.222413328246558,,open_one_side,,0.0,0.0,44.7,224.7
n00043,0.7889108963632331,1.6677032167747676,0.610083536095573,1st Avenue,avenue_secondary,644.9227105216859,40.748688,-73.969777,1st_avenue,749.4277734159916,1st_avenue,475.4330900576622,301.82750315331714,1st_avenue_044,0.1282787397503852,0.192239216403258,0.3007874552029403,0.389916463904427,0.197677247501169,f1,18.373344000000003,1,0,,,,1.0040078688524592,0.5367320941078925,series,,0.0,0.0,20.3,200.3
n00045,0.7889108963632339,1.8055209092729336,0.6017595356297097,1st Avenue,avenue_secondary,664.614362476223,40.74885700000001,-73.969695,1st_avenue,729.429668464255,1st_avenue,472.38782718348295,321.59736065902223,1st_avenue_046,0.07146258209832,0.1946937439740204,0.2941911418998348,0.3982404643702902,0.2035467203962697,f1,18.373344000000003,1,0,,,,1.0040078688524592,0.5367320941078925,series,,0.0,0.0,21.5,201.5
n00046,28.55461316895128,1.6166757762139865,0.6452019629575126,2nd Avenue,avenue_secondary,16.542081356201606,40.74477699999999,-73.975898,2nd_avenue,0.0,2nd_avenue,234.130710703842,-328.5069704092237,2nd_avenue_001,0.0447362454142421,0.1727472694364898,0.3141417530521077,0.3547980370424873,0.1820507676059974,f2,13.130784,0,0,,,,0.7175291803278688,0.2498453051793788,radius_mean,,0.0,0.0,29.3,209.3
n00047,28.554613168951285,2.8196744551016804,0.6627843205698145,2nd Avenue,avenue_secondary,36.4636925093879,40.744934,-73.975782,2nd_avenue,19.992688744873803,2nd_avenue,234.2414491125276,-308.51134886941054,2nd_avenue_002,0.0067955832928419,0.1579513031851025,0.310447151631716,0.3372156794301855,0.1792643762450829,f2,13.133832000000002,2,0,,52.567855900155664,0.2498453051793788,0.7176957377049181,0.2498453051793788,measured,0.2498453051793788,0.0,0.0,29.3,209.3
n00048,28.55461316895128,2.3430579722871925,0.7359616330858161,2nd Avenue,avenue_secondary,56.44109810160069,40.745092,-73.975667,2nd_avenue,40.04119406348262,2nd_avenue,234.2245274751682,-288.4595207786479,2nd_avenue_003,0.0736477416940033,0.1308687567446834,0.3647741995201445,0.2640383669141839,0.1331696101695004,f2,13.149072,2,0,,36.32486517739361,0.3619854316261353,0.7185285245901639,0.3619854316261353,measured,0.3619854316261353,0.0,0.0,29.3,209.3
n00049,28.591096581423912,2.719607008424361,0.7585139405500291,2nd Avenue,avenue_secondary,76.36270925478698,40.74524900000001,-73.975551,2nd_avenue,60.033861815058,2nd_avenue,234.3352658838537,-268.46389923883464,2nd_avenue_004,0.0267162472409836,0.1193081664471857,0.3747500277149623,0.2414860594499709,0.1221778930027851,f2,13.149072,2,0,,30.561831914521875,0.4302448896642232,0.7185285245901639,0.4302448896642232,measured,0.4302448896642232,0.0,0.0,29.3,209.3
n00050,28.622132567663755,3.2765986459111667,0.6439298411407739,2nd Avenue,avenue_secondary,96.28432040601832,40.745406,-73.975435,2nd_avenue,80.02651910425178,2nd_avenue,234.4460042914902,-248.46827769960296,2nd_avenue_005,0.0205219359704642,0.1715852533975947,0.3103008275571188,0.3560701588592261,0.1844849054616313,f2,13.478256,2,0,,30.591586296393384,0.4405870251190285,0.7365167213114754,0.4405870251190285,measured,0.4405870251190285,0.0,0.0,29.3,209.3
n00051,28.569746246257523,2.617360160972993,0.6351836244522436,2nd Avenue,avenue_secondary,116.20593155783064,40.745563,-73.975319,2nd_avenue,100.01916593420712,2nd_avenue,234.5567427005583,-228.47265616047983,2nd_avenue_006,0.013326849322766,0.1692191326336433,0.2946282820542745,0.3648163755477563,0.195597242914113,f2,13.587984,1,0,,,,0.7425127868852459,0.4405870251190285,radius_mean,,0.0,0.0,29.3,209.3
n00052,28.554097746216776,4.893580228473653,0.5939905413467659,2nd Avenue,avenue_secondary,136.08665668786034,40.74572,-73.975204,2nd_avenue,119.97057623150756,2nd_avenue,234.5936592566474,-208.51795474175583,2nd_avenue_007,0.0027823959244415,0.1657272548540132,0.2424584445721622,0.4060094586532341,0.2402822037992208,f2,17.6784,1,1,118.55409774621675,,,0.966032786885246,,open_one_side,,0.0,0.0,29.3,209.3
n00053,28.57505447412089,5.941391117834471,0.6266483834946552,2nd Avenue,avenue_secondary,156.10494830185584,40.74587799999999,-73.975088,2nd_avenue,140.06005706185468,2nd_avenue,234.6505594718845,-188.425206529904,2nd_avenue_008,0.0231126509606838,0.1661505986309296,0.2788738536163558,0.3733516165053447,0.2072010178744151,f2,17.821656,1,1,118.57505447412088,,,0.9738609836065574,,open_one_side,,0.0,0.0,29.3,209.3
n00054,28.590459628443767,3.921256717425922,0.5725206203927834,2nd Avenue,avenue_secondary,176.0265594550421,40.746035,-73.974972,2nd_avenue,160.0526724405268,2nd_avenue,234.76129788057003,-168.42958499009077,2nd_avenue_009,0.0372324511408805,0.1912793310313693,0.2561792837142675,0.4274793796072166,0.2362000485758472,f2,18.01368,1,1,118.59045962844375,,,0.9843540983606558,0.4405870251190285,series,,0.0,0.0,29.3,209.3
n00055,28.526961761051496,1.8744122096621565,0.525839561665407,2nd Avenue,avenue_secondary,195.94817060696045,40.746192,-73.974856,2nd_avenue,180.04527735814222,2nd_avenue,234.8720362882065,-148.43396345085898,2nd_avenue_010,0.000119043768791,0.2256487960999908,0.250242437872509,0.474160438334593,0.2485116422346021,f2,11.90244,0,0,,,,0.6504065573770492,0.631317191526189,series,,0.0,0.0,29.3,209.3
n00056,28.44793197509369,2.205922140968384,0.5098561521373237,2nd Avenue,avenue_secondary,215.8288957368842,40.746349,-73.974741,2nd_avenue,199.99664642664897,2nd_avenue,234.90895284534471,-128.47926203155347,2nd_avenue_011,0.0191499048378318,0.2282430330218809,0.2374223711592766,0.4901438478626763,0.2619008148407953,f2,5.7912,1,0,,,,0.3164590163934426,0.631317191526189,series,,0.0,0.0,29.0,209.0
n00057,28.332273750982097,0.0,0.0010045264911365,2nd Avenue,avenue_secondary,235.80630132978388,40.746507,-73.974626,2nd_avenue,220.04505952934775,2nd_avenue,234.89203120798533,-108.4274339407908,2nd_avenue_012,0.1254903003573417,0.0145817171562274,1.4662449989130476e-05,0.9989954735088634,0.984413756352636,f2,5.7912,0,0,,,,0.3164590163934426,0.631317191526189,series,,,,,
n00058,28.237836543240235,5.07785915107227,0.5533182199788219,2nd Avenue,avenue_secondary,255.6870264598136,40.746664,-73.974511,2nd_avenue,239.99640794502676,2nd_avenue,234.9289477640745,-88.47273252206678,2nd_avenue_013,0.0051652891561388,0.1998317087717628,0.2475375767233572,0.4466817800211781,0.2468500712494152,f2,19.927824,0,0,,,,1.088952131147541,0.631317191526189,radius_mean,,0.0,0.0,299.7,119.7
n00059,28.201148791408485,9.336178901430907,0.7969942394231408,2nd Avenue,avenue_secondary,275.6235460300318,40.746822,-73.974397,2nd_avenue,260.0040469670582,2nd_avenue,234.8382042762169,-68.46182455123031,2nd_avenue_014,0.0298396330326795,0.0895052120780021,0.3513946511754592,0.2030057605768591,0.113500548498857,f2,19.38528,2,0,,30.70608603756965,0.631317191526189,1.059304918032787,0.631317191526189,measured,0.631317191526189,0.0,0.0,28.9,208.9
n00060,28.14921256150797,3.135229681113919,0.786189064267502,2nd Avenue,avenue_secondary,295.56006560035587,40.74697999999999,-73.974283,2nd_avenue,280.0116758534051,2nd_avenue,234.74746078731025,-48.45091658097532,2nd_avenue_015,0.0978075759485363,0.0977381425281517,0.3593860087380556,0.213810935732498,0.1160727932043462,f2,18.908268,2,0,,30.62717490267069,0.6173689888175483,1.03323868852459,0.6173689888175483,measured,0.6173689888175483,0.0,0.0,28.9,208.9
n00061,28.179723298115988,3.307245235500285,0.8035071387463185,2nd Avenue,avenue_secondary,315.53747119394257,40.74713800000001,-73.974168,2nd_avenue,300.06004781196174,2nd_avenue,234.73053914995089,-28.39908849021268,2nd_avenue_016,0.1981150656938552,0.0919916401010115,0.3761762084105229,0.1964928612536814,0.1045012211526699,f2,18.908268,2,0,,30.452228134979865,0.6209157476487066,1.03323868852459,0.6209157476487066,measured,0.6209157476487066,0.0,0.0,28.9,208.9
n00062,28.173756478025723,2.3788209505457547,0.755958426175973,2nd Avenue,avenue_secondary,335.4739907634738,40.74729599999999,-73.974054,2nd_avenue,320.06765643302634,2nd_avenue,234.6397956620933,-8.38818051937622,2nd_avenue_017,0.0,0.1183176199764514,0.36650805182391,0.244041573824027,0.1257239538475755,f2,18.231612,2,0,,30.506725014637706,0.5976259985708766,0.996262950819672,0.5976259985708766,measured,0.5976259985708766,0.0,0.0,28.9,208.9
n00063,28.131170839196187,3.622861298568729,0.8306809111043749,2nd Avenue,avenue_secondary,355.3138298729887,40.74745300000001,-73.97394,2nd_avenue,339.9780015870328,2nd_avenue,234.60289036663508,11.52560077884013,2nd_avenue_018,0.0061499222647398,0.0804683290375628,0.3947783165852865,0.169319088895625,0.0888507598580622,f2,18.231612,2,0,,30.683184377199613,0.5941890442619032,0.996262950819672,0.5941890442619032,measured,0.5941890442619032,0.0,0.0,28.9,208.9
