node_id,eye_green,hard_barrier,soft_buffer,shelter,rest,building,sky,sidewalk,road,vehicle,person,canopy_green,affordance
n00021,0.00017908956812324417,0.02422270569810677,0.0,0.0,0.0,0.2629625395693799,0.23057763579042764,0.03775502041288096,0.3718665216410882,0.06192127852475464,0.002197287202607125,0.007519937626972641,0.0
n00022,0.0,0.023064990458314425,0.0,0.0,0.0,0.28559903839085743,0.22205360901935092,0.030312146922661803,0.4289535353138835,0.005195424310779916,0.0031786055305304786,0.0006500458958686894,0.0
n00023,0.0,0.03440141471452671,0.0,0.0,0.0,0.2773342778063288,0.22360679644968987,0.029831844649432105,0.41418092861411765,0.010959177674189918,0.0018282811563485996,0.0,0.0
n00024,0.0,0.012822988592263938,0.0,0.0,0.0,0.2657499560262531,0.23452312840715886,0.014724505741873352,0.42648739132042335,0.03582037259355845,0.001912795633386946,0.001769948448227301,0.0
n00025,0.0,0.06079017639556631,0.0,0.0,0.0,0.2988552825618422,0.21092820782554847,0.017211471525979984,0.38224405409373996,0.023516236861755708,0.001709071616210104,0.0,0.0
n00026,0.0002036801722985669,0.022747616959455125,0.0,0.002624976878800972,0.0,0.3020724782651188,0.2014854669682674,0.01614346698284786,0.4353749295564181,0.00555284641616809,0.0020232205201966736,0.003597105477220084,0.002624976878800972
n00027,0.001719693817442827,0.04525205041181715,0.0,0.0,0.0,0.2683072337005869,0.22452188578924373,0.06165132029365301,0.38367426639373187,0.00807869914725102,0.0001605912839276687,0.004286518069420784,0.0
n00028,0.0,0.015263513298433973,0.0,0.0,0.0,0.3048705648982096,0.2028904113063039,0.02769810763894493,0.3999476540717129,0.02480560619919497,0.0027822302790260958,0.0012195419201482909,0.0
n00029,0.0,0.06079017639556631,0.0,0.0,0.0,0.2988552825618422,0.21092820782554847,0.017211471525979984,0.38224405409373996,0.023516236861755708,0.001709071616210104,0.0,0.0
n00030,0.0002036801722985669,0.02233126335467877,0.0,0.002624976878800972,0.0,0.3051927471430392,0.19889220276389977,0.01598165591217367,0.4354260895583159,0.00555284641616809,0.0020232205201966736,0.003597105477220084,0.002624976878800972
n00031,0.002079261375135359,0.049612869498180646,0.0,0.0,0.0,0.35312671672551416,0.17069384733117976,0.024951149305637545,0.3706442051115692,0.012333618999523675,0.0013025264178796532,0.008212603697338196,0.0
n00032,0.00020212291742920707,0.04402015507092066,0.0,0.0,0.006416439596482018,0.351911027066854,0.1559969708611826,0.053043014888614896,0.34199590537234675,0.003871066290834111,0.0005827306403168128,0.0143327701354617,0.006416439596482018
n00033,0.0023745134770807893,0.033226994862237,0.0,0.0,0.0,0.3799202915123154,0.15444131978664447,0.0015113674519149289,0.33567198749616495,0.0030649302632305146,0.0,0.00276985238540229,0.0
n00034,0.0,0.02469904362440286,0.0,0.0,0.0,0.3641900298220852,0.15923223277805387,0.030501543695082643,0.2290025458590166,0.011237261754275167,0.00018332672853903806,0.003529891357276754,0.0
n00035,0.0005857802689088729,0.0407625537529909,0.0,0.0,0.0,0.36634858119050845,0.16723537860603077,0.03604161755465965,0.20290796363832078,0.011867110933380429,0.0012878853788204088,0.006798180089783882,0.0
n00036,0.0034705126837285332,7.638736738601875e-05,3.6786242207227964e-05,0.0,0.0,0.32590276339102137,0.1520409601117197,0.018887458191616902,0.4403913329458116,0.021230992219575414,0.004119819866060258,0.01437566174126712,3.6786242207227964e-05
n00038,1.1935758636024671e-06,0.022708397418480235,0.0,0.0,0.0,0.3079513210490849,0.1774027492944472,0.04624319704464246,0.40388638790802794,0.003792527335710887,0.0009926690988911761,0.016987541425574754,0.0
n00039,0.009034197321762258,0.05324461731171539,0.0,0.0,0.0,0.33890039691734397,0.1760231755116374,0.041543449117783675,0.36270258495085517,0.005272904759092788,0.0018251699726705962,0.005199930597908498,0.0
n00040,0.004064038292281454,0.04982427918776016,0.0,0.0,0.0,0.3528313154476605,0.17345395367185867,0.029626736495852044,0.36250242794769144,0.002946335390930197,0.00032911981415283874,0.004436790965816124,0.0
n00041,0.0006260933790500457,0.027767105828432274,0.0,0.0,0.0,0.3690094490347571,0.17451740917886105,0.030822669484866134,0.3569276253760986,0.012795187229732014,0.0017241601428327363,0.006203655477097384,0.0
n00042,0.001451570955036237,0.0087377216235445,0.0,0.00013187892496354636,0.0,0.3316163270396107,0.15973971101952447,0.007654227415191331,0.4567624859477092,0.016224266849579862,0.0025090207008433784,0.0038829784611682373,0.00013187892496354636
n00043,0.008175031378979907,0.008091928111376124,0.0,6.574106749664451e-06,0.0,0.3435984432714186,0.12550913207553546,0.08781034074655009,0.3395398878093599,0.04440736784670015,0.0026975066938002344,0.025570488401918615,6.574106749664451e-06
n00044,0.0,0.01592256566228137,0.0,0.0,0.0,0.2692875839835398,0.19136622694137753,0.011673507976343978,0.41529605868696345,0.07735798093535276,0.0006911597187031777,0.009956587769237257,0.0
n00045,0.0001950444661030201,0.0053641773067183525,0.0,0.0054184508054001025,0.0,0.30272440799419814,0.16811419334774583,0.020818600367752287,0.42715365760645835,0.03963572042648397,0.0014832210038415842,0.02053192895064222,0.0054184508054001025
n00046,0.00010386476029834218,0.013600533719606029,0.0,0.003229548501643729,0.0,0.28576393001995365,0.1562356814960993,0.028564977359874982,0.4147626438911905,0.02061812157194781,0.0016659526596764036,0.05722908699632282,0.003229548501643729
n00047,5.532093024943505e-05,0.027080934351018014,0.0,0.0001016830893243816,0.000239024348694483,0.21978458042229373,0.15808224480274757,0.013993209452822649,0.3917235421879414,0.09277969050030174,0.0020838680972365157,0.08960531673638004,0.0003407074380188646
n00048,0.001030429047624355,0.0023179322211892128,7.4926703378136596e-06,0.0,0.00021738816630278833,0.263149890626764,0.20093937135108325,0.019727557752559206,0.43447858743169315,0.030558413099169533,0.0024839782231775766,0.027254902532159578,0.000224880836640602
n00049,0.0001745985253873036,0.003939447882467621,0.0,0.0,0.0,0.31566120325638686,0.1791873946306163,0.038446315619044956,0.40273659493439645,0.014566915835978356,0.0013403600716207185,0.018698913975405972,0.0
n00050,0.00016595365690058643,0.001971479693451902,0.00011272439890914304,0.0029959723476272767,0.002777219505439145,0.3544688648888701,0.1316937671519366,0.048063392283020805,0.3945113801307434,0.011455645608168726,0.00021943381484320755,0.04070884403942184,0.005885916251975565
n00051,0.002381423262965915,0.0,0.0,0.008647148619799167,0.0040489456381622106,0.32365349358219625,0.15672050962150852,0.04636661035815059,0.40060009272371266,0.0023955969286542445,0.0005525794554124382,0.04281266013320029,0.012696094257961378
n00052,0.0,0.00019538544810980568,0.0,0.0005990681867630131,0.0,0.24844060183689115,0.21259428662385269,0.016075345238898312,0.4107936744985741,0.05045799383758693,0.002103267056525708,0.029598272308432417,0.0005990681867630131
n00053,0.0,0.005007974201938561,0.0,0.0001070463001037386,0.0,0.2817320153470316,0.20998151953703395,0.04657732401861398,0.41081124208592873,0.013946844846582323,0.0034832995112696738,0.010862789811983468,0.0001070463001037386
n00054,0.0018421624287340756,0.011469953009579243,0.0,0.0,0.006043422363416054,0.4583157503959611,0.03767765582440579,0.01170409256677347,0.4020398974977523,0.04992716081392662,0.0002688903768323208,0.012287323074952837,0.006043422363416054
n00055,3.5920643165346375e-05,0.00035942855666327593,0.0,0.0,0.0,0.4182022896657884,0.0635560610694542,0.018847160663102467,0.35910027167370756,0.09199692677647293,0.00702788470121172,0.027369063109759787,0.0
n00056,0.0,0.004260616425256766,0.0,0.0,0.0,0.2935154855321447,0.09419100993839673,0.010700644451462486,0.2869631502659245,0.29990421787060684,0.0015578736883294995,0.004324343447206117,0.0
n00057,0.00044468059858442745,0.001964925216192625,0.0,0.0023098098785642555,0.0,0.4335269741865662,0.041687334539159904,0.03159793549452263,0.40588553539477085,0.03466517888477668,0.00452716332437979,0.034701022739596785,0.0023098098785642555
n00058,0.0,0.0,0.0,0.015549535185908743,0.0,0.46672428461517657,0.03761468695404372,0.022380945115693156,0.30160775950481356,0.14241111095120956,0.0012142529615940902,0.011469862168933366,0.015549535185908743
n00059,0.0,0.0,0.0,0.04682169845951583,0.0027098464126831382,0.41474633400973854,0.04702056847030391,0.029633684148879597,0.38557245011702285,0.05158954133189527,0.0017679470147956655,0.008831905457718389,0.04953154487219897
n00060,0.0008847216637204182,0.005068887656397069,6.449289274396964e-05,0.010097192875537266,0.0,0.440373724158537,0.04874121610320669,0.012604977383721247,0.4267216217879545,0.04574989413958359,0.0002427849599131554,0.002712441414340638,0.010161685768281236
n00061,0.0025804674562899814,0.0,0.0005302072624522652,0.002797131710514562,0.00042912908985692105,0.4430078294196589,0.04553490741768999,0.018693890406247988,0.42783398470010675,0.023183584998955873,0.0016017694080799885,0.026363173838083974,0.0037564680628237486
n00062,0.0031332759059890898,0.0,0.0,0.0,0.0,0.4013188516460979,0.0530435259268822,0.02419329762646928,0.4278947058970829,0.020211149639994815,0.0004971940497640422,0.06168067911474511,0.0
n00063,0.0018673372639118992,0.0,0.0003802891790930575,0.0,0.0,0.4012928023297184,0.06436673112403278,0.07452238186252387,0.37331838553834046,0.021963978437857044,0.006218335214740872,0.04042785332093319,0.0003802891790930575
n00064,0.0007886358514016147,0.0,0.0,0.005332859717369463,0.0,0.36392139064935874,0.08801844175004445,0.013144484786019279,0.4018237314217636,0.09682945874531101,0.003825927835347064,0.0160435813135676,0.005332859717369463
n00065,0.0011972716418259491,0.0,0.0,0.0030755885770159543,0.0,0.3776391888016505,0.07860232956745569,0.02946116927990781,0.3733936761099654,0.09721527437894668,0.0016887187895591566,0.019867150789951285,0.0030755885770159543
n00066,0.0,0.0876682444808375,0.0,0.0,0.0,0.4818176433984695,0.047877918445720154,0.02087335051181171,0.305182958688819,0.04875958116977564,0.0015478055073231086,7.878302446587961e-05,0.0
n00067,0.0,0.011675787797286405,0.0,0.0,0.0,0.47748851059873815,0.04852826271190105,0.058110996673587066,0.3380904901701865,0.05126931517003519,0.003968031366537917,0.00013079438041596622,0.0
n00068,0.0,0.0009263805982630213,0.0,0.002618110274418254,0.0,0.45238529722539184,0.03749949463531153,0.015843472848848295,0.41395828216211045,0.056322737993242875,0.006466401647702685,0.0059473712109317225,0.002618110274418254
n00069,0.0,0.00034085274569732225,0.0,0.006882182007452375,0.0,0.45717006450425146,0.03381245535743776,0.01534677289970135,0.3469232117570968,0.13266213975442073,0.0011012562275329453,0.0,0.006882182007452375
