node_id,scaffold_frac
n00438,0.2074771486222744
n00439,0.11847881611902267
n00440,0.07192463241517544
n00441,0.06619035307085142
n00442,0.005165289156138897
n00443,0.01837107675964944
n00444,0.003631843952462077
n00445,0.028114506596466526
n00450,0.0027743251994252205
n00453,0.0
n00455,0.08288675143558066
n00456,0.14163989425287582
n00457,0.05928581673651934
n00458,0.0792508665472269
n00459,0.026833273470401764
n00460,0.0007344395344262011
n00461,0.019095427473075688
n00462,0.025784074794501066
n00463,0.01055454183369875
n00464,0.0011056946823373437
n00465,0.023280119872651994
n00466,0.030985680234152824
n00467,0.029492590227164328
n00468,0.013227981922682375
n00469,0.0716340858489275
n00470,0.03952858527190983
n00471,0.030277472687885165
n00472,0.16872739139944315
n00473,0.08606461249291897
n00474,0.04701421869867772
n00475,0.0
n00476,0.0030729433055967093
n00477,0.003238394041545689
n00478,0.0001210614645970054
n00479,0.012691276730038226
n00480,0.031193504109978676
n00481,0.10727659749682061
n00482,0.056208835914731026
n00483,0.08871989336330444
n00484,0.02217038907110691
n00485,0.13168460875749588
n00486,0.017354160314425826
n00487,0.03450655188498786
n00488,0.0
n00489,0.0018845234517357312
n00490,0.02360294945538044
n00491,0.0007162803085520864
n00492,0.0512170703150332
n00493,0.004672972412663512
n00494,0.08535639953333884
n00495,0.005405394462286495
n00496,0.006938839331269264
n00497,0.011740944348275661
n00498,0.03336050312896077
n00499,0.06815962155815214
n00500,0.05604540463536978
n00501,0.06853894516825676
n00502,0.05372506007552147
n00503,0.051997916772961617
n00504,0.05272025056183338
n00505,0.018496173433959484
n00506,0.10395345782671939
n00507,0.1402396159246564
n00508,0.07465457124635577
n00509,0.011266786721535027
n00510,0.07627074152696878
n00511,0.08063096925616264
n00512,0.029298890964128077
n00513,0.03216199530288577
n00514,0.05799449235200882
n00515,0.1261682411422953
n00516,0.061680816077569034
n00517,0.08029804844409227
n00518,0.03796890971898392
n00519,0.013413609936833382
n00520,0.030450993217527866
n00521,0.06744737643748522
n00522,0.130030098836869
n00523,0.01700106472708285
n00524,0.08611101470887661
n00525,0.05634200479835272
n00526,0.010506117367185652
n00527,0.009335855982499197
n00528,0.04380205553025007
n00529,0.06161826476454735
n00530,0.037664239217519935
n00531,0.02512832498177886
n00532,0.11567826196551323
n00533,0.010724027584728901
n00534,0.07358115911483765
n00535,0.033423051703721285
n00536,0.07784453965723515
n00537,0.015984148834832013
n00538,0.04357405472546816
n00539,0.08083879225887358
n00540,0.11535543203353882
n00541,0.09758159027842339
n00542,0.11284138914197683
n00543,0.23127580899745226
n00544,0.17219781735911965
n00545,0.018379147863015532
n00546,0.05716118800773984
n00547,0.03751896575954561
n00548,0.08424666873179376
n00549,0.08365347108338028
n00550,0.026681946823373437
n00551,0.017154409222712275
n00552,0.006168081483338028
n00553,0.014188403016305529
n00554,0.01819755509495735
n00555,0.0
n00556,0.0
n00557,0.010596913052722812
n00558,0.021310852374881506
n00559,0.006026843097060919
n00560,0.020124451169976965
n00561,0.008670018054544926
n00562,0.013026213273406029
n00563,0.03947007202077657
n00564,0.03945594769902527
n00565,0.06622263789176941
n00566,0.17722590826451778
n00567,0.12698943443501776
n00568,0.049594846088439226
n00569,2.6229983632219955e-05
n00570,0.014511233544908464
n00571,0.05102942418307066
n00572,0.00944884680211544
n00573,0.04610625933855772
n00574,0.05228644609451294
n00575,0.11005092022242025
n00576,0.05166903091594577
n00577,0.05148138664662838
n00578,0.1118345633149147
n00579,0.0724552833562484
n00580,0.0626170244649984
n00581,0.027061271015554667
n00582,0.045571569353342056
n00583,0.000998757044726517
n00584,0.06819795724004507
n00585,0.06643247697502375
n00586,0.09907064959406853
n00587,0.050198135955724865
n00588,0.15317100007086992
n00589,0.09940558578819036
n00590,0.19885152019560337
n00591,0.1014838027767837
n00592,0.09303169790655375
n00593,0.08298359951004386
n00594,0.031169290596153587
n00595,0.1540285125374794
n00596,0.180488514713943
n00597,0.049290173628833145
n00598,0.06741509400308132
n00599,0.07132739666849375
n00600,0.1471481923945248
n00601,0.09423222206532955
n00602,0.023165111051639542
n00603,0.08478741216822527
n00604,0.17200412461534142
n00605,0.057209611404687166
n00606,0.16938314777507912
n00607,0.06556688742421102
n00608,0.11310974066145718
n00609,0.21218241192400455
n00610,0.15225496515631676
n00611,0.12688653264194727
n00612,0.05072273360565305
n00613,0.023724010583464405
n00614,0.05872489791363478
n00615,0.038578254132062284
n00616,0.01665200386196375
n00617,0.041403020557481796
n00618,0.0155241145985201
n00619,0.014640365727245808
n00620,0.03594920257455669
n00621,0.04514180077239871
n00622,0.018030086997896433
n00623,0.019757231503717776
n00624,0.03840472977026366
n00625,0.0741299691144377
n00626,0.12664845027029514
n00627,0.13237869087606668
n00628,0.09967393428087234
n00629,0.05511928349733353
n00630,0.05794203290133737
n00631,0.1342470683157444
n00632,0.14327623788267374
n00633,0.11305123177589849
n00634,0.02997683483408764
n00635,0.02436765469610691
n00636,0.00047617507516406476
n00637,0.05267585872206837
n00638,0.02589101156149809
n00641,0.07371835876256227
n00642,0.11693528269825038
n00643,0.10591869405470788
n00644,0.09024930103259976
n00645,0.05246803764021024
n00646,0.08219871576875448
n00647,0.2462773509323597
n00648,0.22136088367551565
n00649,0.23453034833073616
n00650,0.17122126556932926
n00651,0.23126371018588543
n00652,0.17457264706422393
n00653,0.10226062021683902
n00654,0.20293331146240234
n00655,0.08926466852426529
n00656,0.04129002941772342
n00657,0.1268058279529214
n00658,0.06794372759759426
n00659,0.011301087462925352
n00660,0.014208580367267132
n00661,0.00021589294192381203
n00662,0.062171113677322865
n00663,0.0006739087984897196
n00664,0.003260588739067316
n00665,0.03971824608743191
n00666,0.006694698686942502
n00667,0.07092183715940337
n00668,0.06445110302593093
n00669,0.08085896819829941
n00670,0.056323844473809004
n00671,0.027636313578113914
n00672,0.0004983696853742003
n00673,0.011954819783568382
n00674,0.04764777375385165
