node_id,osm_name,dob_nearest_m,dob_n_within,dob_shed,dob_any,dob_types
n00190,Park Avenue,13.3,11,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00192,Park Avenue,6.7,1,False,True,Suspended Scaffold
n00194,Park Avenue,26.7,1,False,True,Suspended Scaffold
n00196,Park Avenue,32.3,0,False,False,
n00152,Park Avenue,26.8,5,True,True,Construction Fence|Sidewalk Shed|Suspended Scaffold
n00209,Park Avenue,23.5,2,True,True,Sidewalk Shed|Suspended Scaffold
n00210,Park Avenue,10.2,2,True,True,Sidewalk Shed|Suspended Scaffold
n00211,Park Avenue,21.2,2,True,True,Sidewalk Shed|Suspended Scaffold
n00212,Park Avenue,40.0,0,False,False,
n00213,Park Avenue,40.7,0,False,False,
n00214,Park Avenue,22.2,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00215,Park Avenue,11.2,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00216,Park Avenue,23.6,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00217,Park Avenue,42.3,0,False,False,
n00218,Park Avenue,61.8,0,False,False,
n00219,Park Avenue,74.8,0,False,False,
n00220,Park Avenue,63.3,0,False,False,
n00221,Park Avenue,57.0,0,False,False,
n00222,Park Avenue,57.0,0,False,False,
n00223,Park Avenue,63.8,0,False,False,
n00224,Park Avenue,57.7,0,False,False,
n00225,Park Avenue,50.4,0,False,False,
n00226,Park Avenue,46.6,0,False,False,
n00227,Park Avenue,36.6,0,False,False,
n00228,Park Avenue,18.4,10,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00229,Park Avenue,11.7,11,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00230,Park Avenue,11.0,11,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00231,Park Avenue,16.4,1,False,True,Suspended Scaffold
n00232,Park Avenue,34.8,0,False,False,
n00233,Park Avenue,26.9,1,False,True,Suspended Scaffold
n00234,Park Avenue,7.5,1,False,True,Suspended Scaffold
n00235,Park Avenue,10.5,1,False,True,Suspended Scaffold
n00236,Park Avenue,12.5,1,False,True,Suspended Scaffold
n00237,Park Avenue,22.1,1,False,True,Suspended Scaffold
n00238,Park Avenue,32.5,0,False,False,
n00239,Park Avenue,29.5,2,False,True,Suspended Scaffold
n00240,Park Avenue,13.6,2,False,True,Suspended Scaffold
n00241,Park Avenue,14.4,2,False,True,Suspended Scaffold
n00242,Park Avenue,90.5,0,False,False,
n00244,Park Avenue,91.9,0,False,False,
n00243,Park Avenue,81.5,0,False,False,
n00245,Park Avenue,68.5,0,False,False,
n00246,Tunnel Exit Street,80.3,0,False,False,
n00247,Tunnel Exit Street,65.9,0,False,False,
n00248,Tunnel Exit Street,48.4,0,False,False,
n00249,Tunnel Exit Street,33.0,0,False,False,
n00250,Tunnel Exit Street,24.8,1,True,True,Sidewalk Shed
n00251,Tunnel Exit Street,77.0,0,False,False,
n00252,Tunnel Exit Street,58.0,0,False,False,
n00253,Tunnel Exit Street,39.9,0,False,False,
n00254,Tunnel Exit Street,24.3,8,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00255,Tunnel Exit Street,20.0,15,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00256,Tunnel Exit Street,32.1,0,False,False,
