node_id,osm_name,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,in_study,in_cleaned,cleaned_street,cleaned_direction,cleaned_id,street_segment,cross_dist,along_dist,mapping_id,is_tunnel,is_bridge,osm_heading_fwd,osm_heading_rev,usable,exclude_reason
n00637,East 41st Street,east_41st_street#1,39.96998947256675,40.748517,-73.971174,mid_block,571.272578724051,838.6108568225923,True,True,east_41st_street,Eastbound,east_41st_street_043,east_41st_street,381.5102942878502,228.0534336985805,east_41st_street_043,0.0,0.0,299.1,119.1,True,
n00636,East 41st Street,east_41st_street#1,59.99177966409438,40.748605,-73.971381,mid_block,571.317052865593,818.6264719537129,True,True,east_41st_street,Eastbound,east_41st_street_042,east_41st_street,361.4914099444603,228.13011589334687,east_41st_street_042,0.0,0.0,299.1,119.1,True,
n00635,East 41st Street,east_41st_street#1,80.01354906615279,40.748693,-73.971588,mid_block,571.3615270065541,798.6420870837854,True,True,east_41st_street,Eastbound,east_41st_street_041,east_41st_street,341.4725255996389,228.2067980882219,east_41st_street_041,0.0,0.0,299.1,119.1,True,
n00634,East 41st Street,east_41st_street#1,99.981364840708,40.74877999999998,-73.971795,mid_block,571.3093206839582,778.7112930699062,True,True,east_41st_street,Eastbound,east_41st_street_040,east_41st_street,321.5074794490311,228.1863536096781,east_41st_street_040,0.0,0.0,299.1,119.1,True,
n00633,East 41st Street,east_41st_street#1,120.00309289238255,40.748868,-73.972002,mid_block,571.35379482698,758.7269081988363,True,True,east_41st_street,Eastbound,east_41st_street_039,east_41st_street,301.4885951042097,228.2630358045531,east_41st_street_039,0.0,0.0,299.1,119.1,True,
n00632,East 41st Street,east_41st_street#1,140.02480015342255,40.748956,-73.972209,mid_block,571.3982689679411,738.7425233289089,True,True,east_41st_street,Eastbound,east_41st_street_038,east_41st_street,281.4697107597708,228.339717998738,east_41st_street_038,0.0,0.0,299.1,119.1,True,
n00631,East 41st Street,east_41st_street#1,160.04648662430887,40.749044,-73.97241600000001,mid_block,571.4427431089022,718.7581384589814,True,True,east_41st_street,Eastbound,east_41st_street_037,east_41st_street,261.450826416381,228.4164001935044,east_41st_street_037,0.0,0.0,299.1,119.1,True,
n00630,East 41st Street,east_41st_street#1,180.01421925387268,40.749131000000006,-73.972623,mid_block,571.3905367889481,698.8273444450081,True,True,east_41st_street,Eastbound,east_41st_street_036,east_41st_street,241.48578026539067,228.3959557156508,east_41st_street_036,0.0,0.0,299.3,119.3,True,
n00629,East 41st Street,east_41st_street#1,200.01681450608584,40.74922,-73.972829,mid_block,571.5725774139809,678.8631290558039,True,True,east_41st_street,Eastbound,east_41st_street_035,east_41st_street,221.48687957866807,228.610684703072,east_41st_street_035,0.0,0.0,299.5,119.5,True,
n00628,East 41st Street,east_41st_street#1,219.9647864452809,40.749308,-73.973035,mid_block,571.6579375774115,658.9525045229348,True,True,east_41st_street,Eastbound,east_41st_street_034,east_41st_street,201.5418170868256,228.72828701834607,east_41st_street_034,0.0,0.0,298.7,118.7,True,
