node_id,green_eye,green_canopy,green_ground,articulation,barrier,walkable,affordance,VEI,green_eye_n,articulation_n,barrier_n,affordance_n,enclosure,openness,G,M,P,SIM
n00311,0.0006767583433220375,0.027669625567725287,0.0019681714770095333,0.0011885288593971477,0.0,0.033646750324509554,0.0031968175374740117,0.8509327138706296,0.18398685809209725,0.25112251889611237,0.0,0.5046509077714751,0.5073849213415792,1.0,0.11117938344606217,0.540846850150271,0.26914882904799237,0.3050995645070881
n00312,0.0009027464075908104,0.018533621714497288,0.0024058245283908493,0.002533392953901948,0.0,0.032977625000738545,0.002547180744965472,0.7966554796213678,0.2375516572630023,0.46011415293176394,0.0,0.4286403994465571,0.6479821056424648,1.0,0.14349332416915772,0.6702327957831034,0.2308090122236478,0.3461315268597415
n00313,0.003023300005518981,0.008883661674724083,0.008402339981052978,0.0016600606859156538,0.0005255449985790533,0.03234628756512947,1.4465147289276668e-05,0.7646549077102609,0.5967982445822255,0.33229436528430023,0.058269119178449236,0.0031736326965776662,0.7198311192994932,0.9417308808215508,0.36143988274175654,0.63966819577469,0.01775996013085357,0.3398408515810266
n00314,0.0061325511058112885,0.03118016100779125,0.015517230388963858,0.005690406797001764,0.009274416939588892,0.12433650292046364,0.0037245637156722534,0.8406642483020034,0.8415727063123022,0.7495579565289971,0.6533587202084448,0.5588910621238019,0.5357914797153239,0.34664127979155523,0.5111505159429669,0.5633221966191674,0.34161378252213276,0.47242004853723785
n00315,0.047237452486246674,0.05227107553577739,0.12308326263403084,0.00048240300406324525,0.008561989311849086,0.027524474770650554,0.0,0.9287029213482334,0.9999993137255874,0.11074659589231772,0.6239678003809837,0.0,0.2648552209099616,0.37603219961901635,0.6492328932889647,0.23871144683104994,0.013762237385325277,0.3040554995096518
n00316,0.0017033470159104047,0.034480197731521306,0.005634266148806181,0.02647574903047969,0.006299687011157904,0.2526261910404357,0.024423773951075076,0.9475523160344973,0.40055582326117745,0.9984064493387167,0.5130753846899732,0.9953321758894913,0.1987876976486298,0.48692461531002684,0.24258720041622892,0.5506884901555095,0.6239791834649635,0.4701199804362739
n00317,0.0003875565810782888,0.10328545166904342,0.0018572109725498367,0.0,0.028273229705091697,0.16739824690876004,0.020047626763804272,0.9760457625674477,0.10991404035851715,0.0,0.9604345039993574,0.9877889625111554,0.0935217277663089,0.03956549600064263,0.06669130860413022,0.04730006510668422,0.5775936047099577,0.22888995596489609
n00318,0.0037401266414169294,0.01831858450851804,0.011176308553301983,0.013711605905926223,0.008286745677573986,0.5143264900663032,0.03250087435602588,0.949449703378338,0.6749190718978697,0.9644266484621596,0.6119565621004048,0.9992088195827242,0.19197985653249594,0.38804343789959517,0.40942196656004265,0.511352129049653,0.7567676548245137,0.5576829973088896
n00319,0.00010064103325249421,0.01129765146162323,0.00038675015647533935,0.007606834362043653,0.21597203220295338,0.30990551705469727,0.0006415779665103134,0.8857063758359772,0.02978397292021351,0.8428904603366485,0.9999999999807133,0.1314977714861525,0.40492236655790353,1.9286683361485757e-11,0.018025083814718238,0.45698060774581006,0.22070164427042488,0.22976367166236175
n00320,0.0008917161253450881,0.03166085961138688,0.0024642054060220984,0.003191591180661234,0.00046746347610472145,0.09139976663848996,0.004452656072501629,0.8560942840334491,0.23502076513346049,0.5400066165290849,0.05200000351887046,0.6241104219482749,0.49278744351482107,0.9479999964811295,0.14199814124248514,0.6231172923113905,0.3577550942933824,0.37196725560202004
n00321,0.008990431751180248,0.06895355136303409,0.020456212015934987,0.00742128093637073,0.022925398336165234,0.04130716692234924,0.0010167877528340665,0.7446111898967315,0.9328669785875938,0.8356349113914354,0.927116084691237,0.2002343439803298,0.7606614631092207,0.07288391530876304,0.5679026719589302,0.6149577830578814,0.12077075545133951,0.43587732617407915
n00322,0.000708950157234016,0.0316171834103868,0.0016423786009274344,0.001830056781242063,0.00013187150003973261,0.05369781892167669,0.002167830642488241,0.8528553220099611,0.19184103880925119,0.3593483809848832,0.014951466332962404,0.37896961771375737,0.5019724869169868,0.9850485336670376,0.11576157472592169,0.5728230615282632,0.21633371831771703,0.29978067275598685
n00323,0.0021244796291818246,0.06501201861117493,0.0057739314837033815,1.4965560262277652e-05,0.00260485334609596,0.1603783452009242,0.00027123705785803506,0.8522890238600946,0.47179838558011244,0.0036346356408156755,0.2573763757598926,0.05786212785810485,0.5035697746708067,0.7426236242401074,0.2853886039415488,0.38835593840263505,0.10912023652951452,0.261199263067736
n00324,0.009553361720392915,0.017856599560216554,0.02497683862687142,0.0,0.0029643703356660484,0.15419790173316228,0.012758823226393842,0.833216590656643,0.9433127257127876,0.0,0.2872577449788859,0.9394156683804282,0.5558668148446528,0.7127422550211141,0.5759783708784211,0.4005322896931397,0.5468067850567953,0.5084545407661417
n00325,0.0013962153754480584,0.020604429179013905,0.004931658035160582,0.0,0.0014121938991460698,0.0639431960606178,0.005440915527830174,0.8392576207443898,0.34261011412979325,0.0,0.14898220735393009,0.6974858898443271,0.5396170670674231,0.8510177926460699,0.20753873169194018,0.4286012749884867,0.3807145429524725,0.3376373886957762
n00326,0.013855549405521505,0.043642709220838426,0.036704881908675116,0.0003840821918305604,0.026169039663973787,0.16069990229379932,0.011703051768935711,0.8437710362982351,0.9844353333301784,0.08921707469997453,0.9496836546838098,0.9235956677264646,0.52728589840975,0.050316345316190225,0.6053431527615771,0.25471942183793866,0.5421477850101319,0.4687828501987995
n00327,0.007386054697237004,0.03176343158894237,0.019610790484408887,0.0,0.005547269948718107,0.16111622148617477,0.01378234637694228,0.8667864228478263,0.8912888894247903,0.0,0.4693716738217997,0.9516183942604849,0.4618708800579824,0.5306283261782003,0.5426176498486378,0.31740543356774303,0.5563673078733298,0.472835005624091
n00328,0.014089872164297034,0.06192132621216119,0.04437515647726134,0.004219806874384193,0.007643420531691958,0.1976575840072661,0.018456790629594325,0.8436198149561954,0.9854934014669036,0.6418192053246625,0.5823650778360813,0.9826789512650063,0.52770169107788,0.41763492216391873,0.6090461034710466,0.5401261288357636,0.5901682676361362,0.5800728260158827
n00329,0.0018851451482466027,0.006323965427778069,0.004171024565910912,0.004814568886523071,0.0,0.014806017199740739,0.0,0.7821156878986215,0.4324189571939996,0.6900760753798695,0.0,0.0,0.6816429545659504,1.0,0.2611197841427641,0.7641838082093344,0.0074030085998703695,0.3434043761555774
