node_id,GVI_E_east,GVI_N_uptown,GVI_S_downtown,GVI_W_west,GVI_full360,VEI_E_east,VEI_N_uptown,VEI_S_downtown,VEI_W_west,VEI_full360,osm_name,typology,northing_m,lat,lon
n00650,0.0,0.0,0.1635696331354242,0.1635696331354242,0.0817848165677121,0.9244860298734247,0.973421723656753,0.8914648462905027,0.9426958189731852,0.9334344578663404,East 42nd Street,mid_block,653.6089739136319,40.75205699999999,-73.977531
n00651,0.008118694004257188,0.006949078838263846,0.15439733614375847,0.15322772097776519,0.08067320749101119,0.9457399795954682,0.9554597282217325,0.9344301673340469,0.944530070648908,0.9451611922364647,East 42nd Street,mid_block,653.7987467189256,40.75197099999999,-73.977323
n00652,0.0,0.0,0.0,0.0,0.0,0.9175571807371096,0.9514135865971189,0.8845707766184924,0.9386887601436924,0.928763448115986,East 42nd Street,mid_block,653.8918390620363,40.75188399999999,-73.977115
n00653,0.0013189230805470593,0.0013189230805470595,0.0,0.0,0.0006594615402735298,0.9097521764451031,0.9430520851134032,0.822756594038759,0.9154721971424777,0.9125062484998794,East 42nd Street,mid_block,654.0407258475022,40.75179800000001,-73.976908
n00654,0.0,0.0,0.0014947242925288243,0.0014947242925288245,0.0007473621462644123,0.924000250129865,0.9577056275808274,0.9212679486471287,0.9561604294641406,0.9413726846232046,East 42nd Street,mid_block,654.133818189926,40.751711,-73.9767
n00655,0.01263670740402025,0.010186901329803192,0.0024498060742170593,0.0,0.006318353702010126,0.9239471498490432,0.9626729561237862,0.912232958685035,0.9566774569584781,0.9414858215065467,East 42nd Street,mid_block,654.2269105323498,40.75162399999999,-73.976492
n00656,0.0,0.0,0.0,0.0,0.0,0.9282953026951558,0.9607292102146263,0.9220899386220551,0.9559718661294198,0.9412121230136479,East 42nd Street,mid_block,654.2791168536778,40.751537,-73.976285
n00657,0.04064050602639344,0.039351933480949494,0.0012885725454439474,0.0,0.020320253013196725,0.8653948952213306,0.8910871763551164,0.8919400325661447,0.9179472476823082,0.8915137142059036,East 42nd Street,mid_block,654.2346427120298,40.751448999999994,-73.976078
n00658,0.08035079875055742,0.054909208395578765,0.025441590354978682,0.0,0.040175399375278725,0.9274044942099499,0.948170835173122,0.9339764302424647,0.9545595012132598,0.9408532422195752,East 42nd Street,mid_block,654.1901685710686,40.751360999999996,-73.975871
n00659,0.08256105732633448,0.07730349789485004,0.005257559431484467,0.0,0.04128052866316725,0.9338272848923549,0.9495000272385095,0.9379130543909111,0.9538948211154222,0.9436426485744275,East 42nd Street,mid_block,654.2423748922907,40.751273999999995,-73.975664
n00660,0.10537116665181755,0.03610713483774998,0.06926403181406757,0.0,0.05268558332590878,0.9204243610471073,0.915128343545756,0.9399341991561857,0.9408806973259576,0.9305756450924086,East 42nd Street,mid_block,654.2945812129318,40.751186999999994,-73.975457
n00661,0.11340677055428322,0.04671041775352296,0.33868736026406443,0.27199100746330424,0.19269888900879373,0.9186530448963237,0.9002561039034266,0.9435862487888731,0.9398420631683647,0.9293001990792286,East 42nd Street,mid_block,654.2501070726576,40.751099,-73.97525
n00662,0.14309963357989625,0.1254925747572698,0.10361797249817889,0.08601091367555247,0.11455527362772434,0.9138024735425035,0.9273923077836859,0.9412442386028421,0.9539018554957925,0.9355877795423384,East 42nd Street,mid_block,654.3023133945667,40.75101200000001,-73.975043
