node_id,osm_name,d
n00172,Park Avenue,260.77520268633145
n00173,Park Avenue,280.6936368830457
n00174,Park Avenue,300.71604797328763
n00175,Park Avenue,509.61749677262776
n00176,Park Avenue,320.6421841729394
n00177,Park Avenue,495.37486960178825
n00178,Park Avenue,307.71867791652295
n00179,Park Avenue,481.41047740612044
n00180,Park Avenue,287.77635275218836
n00181,Park Avenue,468.3189658375739
n00182,Park Avenue,267.88852287012094
n00183,Park Avenue,455.48638478425005
n00184,Park Avenue,247.9191005452006
n00185,Park Avenue,443.26001318934715
n00186,Park Avenue,228.05478470886447
n00187,Park Avenue,431.6472176237218
n00188,Park Avenue,208.1164082897877
n00189,Park Avenue,420.66444456405645
n00190,Park Avenue,188.29129509116035
n00191,Park Avenue,410.1804101405379
n00192,Park Avenue,168.38349861646276
n00193,Park Avenue,400.468557460308
n00194,Park Avenue,148.49188752743845
n00195,Park Avenue,391.5835385984403
n00196,Park Avenue,128.63739042092675
n00197,Park Avenue,383.4403751879968
n00198,Park Avenue,512.5259760737821
n00199,Park Avenue,506.4772571047013
n00200,Park Avenue,512.8526472779431
n00201,Park Avenue,503.1707420886997
n00202,Park Avenue,510.1185435118985
n00203,Park Avenue,500.6425262174457
n00204,Park Avenue,507.89100891938364
n00205,Park Avenue,498.90444058714627
n00206,Park Avenue,506.438746129589
n00207,Park Avenue,497.9647576055668
n00208,Park Avenue,505.8430781130175
n00209,Park Avenue,53.13391107535906
n00210,Park Avenue,71.52469965350205
n00211,Park Avenue,90.55521602059162
n00212,Park Avenue,109.94286560616813
n00213,Park Avenue,129.42201354905293
n00214,Park Avenue,149.17401053587952
n00215,Park Avenue,168.92219094324517
n00216,Park Avenue,188.72181370940388
n00217,Park Avenue,208.55822518636188
n00218,Park Avenue,228.38870696756558
n00219,Park Avenue,248.34028022892957
n00220,Park Avenue,268.30626033766185
n00221,Park Avenue,288.14772099950443
n00222,Park Avenue,308.06840375151125
n00223,Park Avenue,321.47909490250777
n00224,Park Avenue,301.6246975907934
n00225,Park Avenue,281.7839823393106
n00226,Park Avenue,261.87006316212575
n00227,Park Avenue,242.02846483951416
n00228,Park Avenue,222.2166206637735
n00229,Park Avenue,202.44326337193124
n00230,Park Avenue,182.79396722846903
n00231,Park Avenue,163.1468592091998
n00232,Park Avenue,143.65567209369627
n00233,Park Avenue,124.2481755844038
n00234,Park Avenue,104.6349086179686
n00235,Park Avenue,100.92289692531219
n00236,Park Avenue,85.20374469513503
n00237,Park Avenue,82.29404628726087
n00238,Park Avenue,66.10806177220455
n00239,Park Avenue,64.56024663979098
n00240,Park Avenue,47.82288704858674
n00241,Park Avenue,48.497603613725396
n00242,Park Avenue,2.932443347453488
n00243,Park Avenue,25.629565050604686
n00244,Park Avenue,17.098028011903576
n00245,Park Avenue,16.415489668057543
n00246,Tunnel Exit Street,364.5710446580049
n00247,Tunnel Exit Street,370.81206470401753
n00248,Tunnel Exit Street,378.65656749791697
n00249,Tunnel Exit Street,388.2502958841486
n00250,Tunnel Exit Street,398.8898022109636
n00251,Tunnel Exit Street,403.21492371010856
n00252,Tunnel Exit Street,384.4027986358239
n00253,Tunnel Exit Street,365.83416210151125
n00254,Tunnel Exit Street,347.1349700806096
n00255,Tunnel Exit Street,328.6913741317372
n00256,Tunnel Exit Street,310.7525503105654
n00257,Tunnel Exit Street,293.0731099330959
n00258,Tunnel Exit Street,275.5968473963523
n00259,Tunnel Exit Street,258.6103528854437
n00260,Tunnel Exit Street,242.07430864122415
n00261,Tunnel Exit Street,225.99387022246123
n00262,Tunnel Exit Street,210.69308773868008
n00263,Tunnel Exit Street,196.22949418089388
n00264,Tunnel Exit Street,182.66812253605013
n00265,Tunnel Exit Street,170.38150798762751
n00266,Tunnel Exit Street,159.66420696896117
n00267,East 34th Street,160.6252325252766
n00268,East 34th Street,142.35320985098676
n00269,East 34th Street,124.7136966658898
n00270,East 34th Street,107.58687138485325
n00271,East 34th Street,91.89244987010589
n00272,East 34th Street,78.45996697979811
n00273,East 34th Street,68.15594391171904
n00274,East 34th Street,62.87437016547961
n00275,East 34th Street,58.32642906582796
n00276,East 34th Street,55.69374335446123
n00277,East 34th Street,59.81582506831104
n00278,East 34th Street,69.80603290697846
n00279,East 34th Street,83.41149655365648
n00280,East 34th Street,99.19447234095148
n00281,East 34th Street,116.27233834026188
n00282,East 34th Street,134.24234048668728
n00283,East 34th Street,151.9586065595677
n00284,East 34th Street,168.75844268598928
n00285,East 34th Street,186.18793013840667
n00286,East 34th Street,203.68245466062353
n00287,East 34th Street,221.6798842478503
n00288,East 34th Street,239.91770076629638
n00289,East 34th Street,258.41155312532436
n00290,East 34th Street,277.2111653210246
n00291,East 34th Street,295.65940985094085
n00292,East 34th Street,314.58464548322917
n00293,East 34th Street,333.8638968801488
n00294,East 34th Street,353.1485050480796
n00295,East 34th Street,372.4534990315009
n00296,East 34th Street,391.8250428300955
n00297,East 34th Street,411.33493927527434
n00298,East 34th Street,430.8128040747917
n00299,East 34th Street,450.3662340079525
n00300,East 34th Street,470.00621090422925
n00301,East 34th Street,489.5985525642943
n00302,East 34th Street,509.17519296569594
n00303,East 34th Street,528.859596771923
n00304,East 34th Street,548.5685151349273
n00305,East 34th Street,568.2622006809772
n00306,East 34th Street,588.0122473452627
n00307,East 34th Street,607.7418353766944
n00308,East 34th Street,627.5656888764796
n00309,East 34th Street,647.3240830183191
n00310,East 34th Street,667.1347824147497
n00311,East 34th Street,686.9176332357446
n00312,East 34th Street,706.7515445734141
n00313,East 34th Street,726.5548946609368
n00314,East 35th Street,199.34439774210486
n00315,East 35th Street,186.50798259511538
n00316,East 35th Street,175.11899642942802
n00317,East 35th Street,165.36988040252973
n00318,East 35th Street,157.5653303825693
n00319,East 35th Street,151.89844757787603
n00320,East 35th Street,148.08637736535056
n00321,East 35th Street,143.3872435319908
n00322,East 35th Street,141.36023212246894
n00323,East 35th Street,142.04650148529103
n00324,East 35th Street,145.5921983897066
n00325,East 35th Street,151.70508354177167
n00326,East 35th Street,160.03100248431298
n00327,East 35th Street,170.4405738472214
n00328,East 35th Street,182.34535722272048
n00329,East 35th Street,195.61261808708804
n00330,East 35th Street,209.943421603515
n00331,East 35th Street,225.11577840467874
n00332,East 35th Street,241.09453771515018
n00333,East 35th Street,257.5578794184628
n00334,East 35th Street,274.48685422514245
n00335,East 35th Street,291.8848662286438
n00336,East 35th Street,309.51846346895906
n00337,East 35th Street,326.57432663165696
n00338,East 35th Street,343.50560506699486
n00339,East 35th Street,360.75274243741575
n00340,East 35th Street,378.19280263343893
n00341,East 35th Street,395.8699074817108
n00342,East 35th Street,414.062780795777
n00343,East 35th Street,432.19319007472427
n00344,East 35th Street,450.5631241673595
n00345,East 35th Street,468.99921272152886
n00346,East 35th Street,487.54576866907206
n00347,East 35th Street,506.2005667758756
n00348,East 35th Street,524.9698244313711
n00349,East 35th Street,543.8093879445174
n00350,East 35th Street,562.7472512368965
n00351,East 35th Street,581.7362023604758
n00352,East 35th Street,600.8940604265858
n00353,East 35th Street,620.0051451988887
n00354,East 35th Street,639.1934065112633
n00355,East 35th Street,658.4057605297976
n00356,East 35th Street,677.6883663048867
n00357,East 35th Street,696.9854321770508
n00358,East 35th Street,716.347418795969
n00359,East 35th Street,732.1624023131524
n00360,East 35th Street,746.0696573325772
n00361,East 36th Street,271.49841235595824
n00362,East 36th Street,260.9494420469724
n00363,East 36th Street,251.67215904893007
n00364,East 36th Street,243.57124225214181
n00365,East 36th Street,236.99841124908832
n00366,East 36th Street,231.9633410313383
n00367,East 36th Street,227.60454457156868
n00368,East 36th Street,223.21316344683714
n00369,East 36th Street,220.48156971353475
n00370,East 36th Street,219.6187937095374
n00371,East 36th Street,220.56782312535304
n00372,East 36th Street,223.21973361601687
n00373,East 36th Street,227.688092777078
n00374,East 36th Street,233.70951873477821
n00375,East 36th Street,241.3131476901155
n00376,East 36th Street,250.35399650930663
n00377,East 36th Street,260.498292525289
n00378,East 36th Street,271.78809946067776
n00379,East 36th Street,283.99369607205114
n00380,East 36th Street,297.08405002995784
n00381,East 36th Street,310.90662420134424
n00382,East 36th Street,325.4244491984648
n00383,East 36th Street,340.44843546962966
n00384,East 36th Street,355.95883544764996
n00385,East 36th Street,371.88091820641057
n00386,East 36th Street,388.2774367106565
