node_id,osm_name,hw,snap_m,is_pedestrian,fov
n00231,Bread Street,residential,0.8773561264770522,False,90
n00232,Bread Street,residential,0.5760217112964294,False,90
n00233,Bread Street,residential,0.44622424147459244,False,90
n00234,Bread Street,residential,0.11802068265019464,False,90
n00235,Bread Street,residential,0.46297909848270336,False,90
n00236,Brewers' Hall Garden,service,2.5677959463662257,False,90
n00237,Brewers' Hall Garden,footway,0.4263767344903603,True,180
n00238,Broad Street Avenue,tertiary,0.1888472877074768,False,90
n00239,Broad Street Avenue,service,5.776590069418077,False,90
n00240,Broad Street Avenue,unmatched,16.91141480742708,False,90
n00241,Broken Wharf,footway,0.538260008718594,True,180
n00242,Broken Wharf,unclassified,0.2051851146685082,False,90
n00243,Broken Wharf,unclassified,0.16183717286645002,False,90
n00244,Brown's Buildings,service,0.45865508957545675,False,90
n00245,Brown's Buildings,footway,0.5957816650549951,True,180
n00246,Brown's Buildings,footway,1.927452312353788,True,180
n00247,Brown's Buildings,footway,2.091534151494368,True,180
n00248,Bucklersbury,unclassified,3.8589321282362357,False,90
n00249,Bucklersbury,unclassified,1.6321403713099367,False,90
n00250,Bucklersbury,footway,2.6958265356185334,True,180
n00251,Bull's Head Passage,pedestrian,2.429385310835327,True,180
n00252,Bull's Head Passage,footway,1.5481701242090864,True,180
n00253,Bull's Head Passage,footway,1.9961306097594513,True,180
n00254,Bury Court,service,1.5608120168800867,False,90
n00255,Bury Court,service,0.08123991345730791,False,90
n00256,Bury Court,service,0.6646975531858842,False,90
n00257,Bush Lane,unclassified,1.8467348614537338,False,90
n00258,Bush Lane,unclassified,0.8664688583984876,False,90
n00259,Bush Lane,residential,0.21552222818533537,False,90
n00260,Bush Lane,residential,0.7042426520168906,False,90
n00261,Bush Lane,residential,0.7557904686957926,False,90
n00262,Bush Lane,residential,0.688267398883097,False,90
n00263,Byward Street,primary,0.39810861053621344,False,90
n00264,Byward Street,primary,0.2943805381521112,False,90
n00265,Byward Street,primary,0.23521795269341744,False,90
n00266,Byward Street,primary,2.799936807212855,False,90
n00267,Byward Street,primary,0.3887703144951971,False,90
n00268,Byward Street,primary,2.408351530901115,False,90
n00269,Byward Street,primary,0.5428207613411618,False,90
n00270,Byward Street,primary,2.329624780871567,False,90
n00271,Byward Street,primary,0.8536255150481283,False,90
n00272,Byward Street,primary,0.4624707792894843,False,90
n00273,Byward Street,primary,0.5430369320068081,False,90
n00274,Byward Street,primary,1.6197328972026355,False,90
n00275,Byward Street,primary,1.168096287874343,False,90
n00276,Byward Street,primary,0.09890905767787952,False,90
n00277,Byward Street,primary,3.5959116536887197,False,90
n00278,Byward Street,primary,0.04887935198837299,False,90
n00279,Camomile Street,primary,1.1379914871023686,False,90
n00280,Camomile Street,primary,0.42093393931712286,False,90
n00281,Camomile Street,primary,0.6035467728524367,False,90
n00282,Camomile Street,primary,0.03460474178794425,False,90
n00283,Camomile Street,primary,0.9643210987041051,False,90
n00284,Camomile Street,primary,0.24275231518253107,False,90
n00285,Camomile Street,primary,0.6542140008786498,False,90
n00286,Camomile Street,primary,0.5545798385565982,False,90
n00287,Camomile Street,primary,0.12208282286775755,False,90
n00288,Camomile Street,primary,0.20430182031732586,False,90
n00289,Camomile Street,primary,1.1339425636649687,False,90
n00290,Cannon Street,footway,0.521318073186533,True,180
n00291,Cannon Street,tertiary,0.06402150191900208,False,90
n00292,Cannon Street,tertiary,3.5399324006764292,False,90
n00293,Cannon Street,tertiary,0.9083595823699326,False,90
n00294,Cannon Street,tertiary,1.683656566680558,False,90
n00295,Cannon Street,tertiary,1.683656566680558,False,90
n00296,Cannon Street,tertiary,0.9823232333571046,False,90
n00297,Cannon Street,tertiary,0.07011119625038337,False,90
n00298,Cannon Street,tertiary,0.7899549875398351,False,90
n00299,Cannon Street,tertiary,1.298657781781143,False,90
n00300,Cannon Street,tertiary,1.6650499126069198,False,90
n00301,Cannon Street,tertiary,0.00438431001842216,False,90
n00302,Cannon Street,tertiary,0.6221115361552905,False,90
n00303,Cannon Street,tertiary,0.1465474458667423,False,90
n00304,Cannon Street,tertiary,0.21898247147372105,False,90
n00305,Cannon Street,tertiary,0.2159289091065982,False,90
n00306,Cannon Street,tertiary,0.4154284349353693,False,90
n00307,Cannon Street,tertiary,1.188673771556929,False,90
n00308,Cannon Street,tertiary,1.348495579325745,False,90
n00309,Cannon Street,tertiary,0.4412642790774651,False,90
n00310,Cannon Street,tertiary,1.0893664297819505,False,90
n00311,Cannon Street,tertiary,1.1318729040284954,False,90
n00312,Cannon Street,tertiary,0.3901027135850909,False,90
n00313,Cannon Street,tertiary,2.213242181805415,False,90
n00314,Cannon Street,tertiary,1.6396772483745699,False,90
n00315,Cannon Street,tertiary,0.6048280294898833,False,90
n00316,Cannon Street,tertiary,0.7133864710106771,False,90
n00317,Cannon Street,tertiary,0.5783473757419395,False,90
n00318,Cannon Street,tertiary,1.452377312680193,False,90
n00319,Cannon Street,tertiary,1.56005370561906,False,90
n00320,Cannon Street,tertiary,0.8540302363577686,False,90
n00321,Cannon Street,tertiary,0.10681164446430806,False,90
n00322,Cannon Street,tertiary,0.4521050250493713,False,90
n00323,Cannon Street,tertiary,1.590924401219122,False,90
n00324,Cannon Street,tertiary,0.07953696850170869,False,90
n00325,Cannon Street,tertiary,0.6773508149305908,False,90
n00326,Cannon Street,tertiary,2.634628954924869,False,90
n00327,Cannon Street,tertiary,1.2495970312869054,False,90
n00328,Cannon Street,tertiary,0.1363078668553038,False,90
n00329,Cannon Street,tertiary,4.002590981995363,False,90
n00330,Cannon Street,tertiary,3.0868382072447935,False,90
n00331,Cannon Street,tertiary,0.9083595823699326,False,90
n00332,Cannon Street,tertiary,1.1887398947162047,False,90
n00333,Cannon Street,tertiary,0.023865184495786278,False,90
n00334,Cannon Street,tertiary,2.9417487594826235,False,90
n00335,Cannon Street,tertiary,6.580586060431896,False,90
n00336,Cannon Street,tertiary,1.6297512769191442,False,90
n00337,Cannon Street,tertiary,6.3400842324007805,False,90
n00338,Cannon Street,tertiary,5.945714306118425,False,90
n00339,Carey Lane,unclassified,1.7627307514960038,False,90
n00340,Carey Lane,unclassified,0.201825005878393,False,90
n00341,Carey Lane,unclassified,0.11783664456397754,False,90
n00342,Carey Lane,unclassified,0.39523045791245415,False,90
n00343,Carter Lane,pedestrian,0.6947317503070082,True,180
n00344,Carter Lane,pedestrian,1.4241583080291618,True,180
n00345,Carter Lane,pedestrian,3.174443784797617,True,180
n00346,Carter Lane,pedestrian,2.459307466759682,True,180
n00347,Castle Baynard Street,service,0.1732003306531157,False,90
n00348,Castle Baynard Street,service,0.06032339650781771,False,90
n00349,Castle Baynard Street,unclassified,0.4449252689100983,False,90
n00350,Castle Baynard Street,unclassified,0.2324911594482551,False,90
n00351,Castle Baynard Street,unclassified,0.40884495020872147,False,90
n00352,Castle Baynard Street,unclassified,0.8340682509349938,False,90
n00353,Cavendish Court,primary,0.12524559711528016,False,90
n00354,Cavendish Court,footway,0.11136458019003913,True,180
n00355,Cavendish Court,footway,0.20810451714012362,True,180
n00356,Change Alley,footway,0.7599244152520379,True,180
n00357,Change Alley,footway,0.6859378155882976,True,180
n00358,Cheapside,tertiary,0.11055431240472671,False,90
n00359,Cheapside,unclassified,0.716639012291601,False,90
n00360,Cheapside,tertiary,0.157829965647851,False,90
n00361,Cheapside,tertiary,1.0511854828234626,False,90
n00362,Cheapside,tertiary,0.030800777066634793,False,90
n00363,Cheapside,cycleway,1.4037902343346536,True,180
n00364,Cheapside,tertiary,0.30348308797197965,False,90
n00365,Cheapside,tertiary,1.3074538571664733,False,90
n00366,Cheapside,tertiary,0.2439062067907843,False,90
n00367,Cheapside,proposed,0.9936700957414115,False,90
n00368,Cheapside,unclassified,0.9742300659584062,False,90
n00369,Cheapside,unclassified,0.554103555476863,False,90
n00370,Cheapside,unclassified,0.10688174545817014,False,90
n00371,Cheapside,unclassified,0.5586489788572842,False,90
n00372,Cheapside,unclassified,0.5426203836163326,False,90
n00373,Cheapside,unclassified,0.6798610917642429,False,90
n00374,Cheapside,unclassified,0.05771952088233453,False,90
n00375,Cheapside,unclassified,0.8292914386469716,False,90
n00376,Cheapside,unclassified,0.9529597883472651,False,90
n00377,Cheapside,unclassified,1.6042296695794838,False,90
n00378,Cheapside,unclassified,1.4124360551509632,False,90
n00379,Cheapside,unclassified,0.7254405108609198,False,90
n00380,Cheapside,unclassified,1.1003349782497747,False,90
n00381,Cheapside,unclassified,0.3477760861319157,False,90
n00382,Cheapside,unclassified,0.2758363824900352,False,90
n00383,Cheapside,unclassified,5.061497271954964,False,90
n00384,Cheapside,cycleway,1.6957068318729183,True,180
n00385,Cheapside,tertiary,0.3722625548886959,False,90
n00386,Cheapside,tertiary,0.5298236604705859,False,90
n00387,Cheapside,footway,0.6540488400722752,True,180
n00388,Circus Place,unclassified,1.9907564454093567,False,90
n00389,Circus Place,unclassified,0.06360480103641558,False,90
n00390,Circus Place,unclassified,1.0320679003269222,False,90
n00391,Circus Place,unclassified,0.7976439475659863,False,90
n00392,Circus Place,unclassified,0.7933296763285052,False,90
n00393,Clements Lane,unclassified,1.5634113894933819,False,90
n00394,Clements Lane,unclassified,0.27344558654558615,False,90
n00395,Clements Lane,unclassified,0.7854158203824417,False,90
n00396,Clements Lane,unclassified,1.4614251072181343,False,90
n00397,Clements Lane,unclassified,1.2906172435876726,False,90
n00398,Clements Lane,unclassified,0.906920456443101,False,90
n00399,Clements Lane,unclassified,0.09262635777871252,False,90
n00400,Clerks' Place,residential,2.7728904574297752,False,90
n00401,Clerks' Place,footway,4.454613140158338,True,180
n00402,Clerks' Place,footway,7.067820800446523,True,180
n00403,Clerks' Place,footway,1.3917307821569074,True,180
n00404,Clerks' Place,footway,1.635711520150636,True,180
n00405,Clerks' Place,footway,0.4550363194475189,True,180
n00406,Clerks' Place,footway,0.3029084470513876,True,180
n00407,Cloak Lane,unclassified,0.11686702480983836,False,90
n00408,Cloak Lane,unclassified,0.7508097561555903,False,90
n00409,Cloak Lane,unclassified,0.8538690861053243,False,90
n00410,Cloak Lane,unclassified,0.6652044165448945,False,90
n00411,Cloak Lane,unclassified,0.46058722825513565,False,90
