node_id,heading,path,pano_date,on_target
n00042,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00042_090.jpg,2024-09,False
n00042,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00042_180.jpg,2024-09,False
n00042,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00042_270.jpg,2024-09,False
n00043,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00043_000.jpg,2024-09,False
n00043,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00043_090.jpg,2024-09,False
n00043,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00043_180.jpg,2024-09,False
n00043,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00043_270.jpg,2024-09,False
n00044,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00044_000.jpg,2024-09,False
n00044,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00044_090.jpg,2024-09,False
n00044,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00044_180.jpg,2024-09,False
n00044,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00044_270.jpg,2024-09,False
n00045,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00045_000.jpg,2024-09,False
n00045,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00045_090.jpg,2024-09,False
n00045,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00045_180.jpg,2024-09,False
n00045,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00045_270.jpg,2024-09,False
n00046,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00046_000.jpg,2024-10,False
n00046,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00046_090.jpg,2024-10,False
n00046,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00046_180.jpg,2024-10,False
n00046,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00046_270.jpg,2024-10,False
n00047,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00047_000.jpg,2024-09,False
n00047,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00047_090.jpg,2024-09,False
n00047,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00047_180.jpg,2024-09,False
n00047,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00047_270.jpg,2024-09,False
n00048,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00048_000.jpg,2021-12,False
n00048,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00048_090.jpg,2021-12,False
n00048,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00048_180.jpg,2021-12,False
n00048,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00048_270.jpg,2021-12,False
n00049,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00049_000.jpg,2024-10,False
n00049,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00049_090.jpg,2024-10,False
n00049,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00049_180.jpg,2024-10,False
n00049,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00049_270.jpg,2024-10,False
n00050,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00050_000.jpg,2024-09,False
n00050,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00050_090.jpg,2024-09,False
n00050,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00050_180.jpg,2024-09,False
n00050,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00050_270.jpg,2024-09,False
n00051,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00051_000.jpg,2022-07,False
n00051,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00051_090.jpg,2022-07,False
n00051,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00051_180.jpg,2022-07,False
n00051,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00051_270.jpg,2022-07,False
n00052,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00052_000.jpg,2022-07,False
n00052,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00052_090.jpg,2022-07,False
n00052,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00052_180.jpg,2022-07,False
n00052,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00052_270.jpg,2022-07,False
n00053,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00053_000.jpg,2024-09,False
n00053,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00053_090.jpg,2024-09,False
n00053,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00053_180.jpg,2024-09,False
n00053,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00053_270.jpg,2024-09,False
n00054,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00054_000.jpg,2022-07,False
n00054,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00054_090.jpg,2022-07,False
n00054,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00054_180.jpg,2022-07,False
n00054,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00054_270.jpg,2022-07,False
n00055,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00055_000.jpg,2024-09,False
n00055,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00055_090.jpg,2024-09,False
