node_id,osm_name,street_category,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,along_dist,cross_dist,n_images,directions,name_resolved,excluded_by_pattern,collides_m,intersection_dup,axis_mismatch,frame_ok,nearest_img_m,nearest_img_node,reusable
3rd_avenue_006,3rd Avenue,3rd_avenue,3rd_avenue#0,99.5585838088015,40.746393,-73.977653,avenue_secondary,101.02274004392137,474.54461552302047,-243.365079671111,17.570840078628862,2,Northbound/Southbound,True,False,1.3687020333183162,True,False,False,0.07457360698254388,n00081,True
3rd_avenue_007,3rd Avenue,3rd_avenue,3rd_avenue#0,119.52225165141287,40.74655,-73.977536,avenue_secondary,120.98523721830935,474.76081055688405,-223.32853801079008,17.755400338861733,2,Northbound/Southbound,True,False,18.647326137412833,False,False,True,0.10905310243986015,n00082,True
3rd_avenue_008,3rd Avenue,3rd_avenue,3rd_avenue#0,139.43191859368963,40.746706,-73.977418,avenue_secondary,140.89193995240285,475.10435678204453,-203.34820290200008,18.06762064409044,2,Northbound/Southbound,True,False,38.55617853495474,False,False,True,0.08961114642255158,n00083,True
3rd_avenue_009,3rd Avenue,3rd_avenue,3rd_avenue#0,159.4374031763319,40.746863,-73.9773,avenue_secondary,160.8953231479925,475.394312152299,-183.2707411218616,18.326002756253168,2,Northbound/Southbound,True,False,19.647647010215625,False,False,True,0.16714326916253436,n00084,True
3rd_avenue_010,3rd Avenue,3rd_avenue,3rd_avenue#0,179.34707011860868,40.747019,-73.977182,avenue_secondary,180.80202588208604,475.7378583774595,-163.29040601307162,18.638223061481867,2,Northbound/Southbound,True,False,3.4886365141063562,True,False,False,0.14399114982982575,n00085,True
3rd_avenue_011,3rd Avenue,3rd_avenue,3rd_avenue#0,199.2796924903075,40.747179,-73.977073,avenue_secondary,200.72747626743907,475.2031981549042,-143.28984530116924,18.070693926509943,2,Northbound/Southbound,True,False,20.930053075378403,False,False,True,0.14867007865038173,n00086,True
3rd_avenue_012,3rd Avenue,3rd_avenue,3rd_avenue#0,219.2123148618621,40.747339,-73.976964,avenue_secondary,220.65292665268618,474.66853793377794,-123.28928458937548,17.503164792969642,2,Northbound/Southbound,True,False,37.49732535958223,False,False,True,0.15349190631398543,n00087,True
3rd_avenue_013,3rd Avenue,3rd_avenue,3rd_avenue#0,239.1449372335609,40.747499,-73.976855,avenue_secondary,240.5783770380392,474.1338777112227,-103.28872387747312,16.935635657997718,2,Northbound/Southbound,True,False,17.5680725115972,False,False,True,0.15831525619318085,n00088,True
3rd_avenue_014,3rd Avenue,3rd_avenue,3rd_avenue#0,259.07755960525975,40.747659,-73.976746,avenue_secondary,260.50382742339224,473.5992174886674,-83.28816316557074,16.368106523025794,2,Northbound/Southbound,True,False,2.417396047114033,True,False,False,0.16368280535963234,n00089,True
3rd_avenue_015,3rd Avenue,3rd_avenue,3rd_avenue#0,279.0141655243072,40.747817,-73.976632,avenue_secondary,280.4403469942974,473.5405406592137,-63.27725519473427,16.277363035168193,2,Northbound/Southbound,True,False,22.301809395963865,False,False,True,0.17323118990164135,n00090,True
3rd_avenue_016,3rd Avenue,3rd_avenue,3rd_avenue#0,298.89500926554774,40.747974,-73.976517,avenue_secondary,300.32107212432703,473.6092150200087,-43.32255377601024,16.314279591257332,2,Northbound/Southbound,True,False,35.38229483695934,False,False,True,0.12813334451708236,n00091,True
3rd_avenue_017,3rd Avenue,3rd_avenue,3rd_avenue#0,318.81712959834715,40.748131,-73.976401,avenue_secondary,320.24268327682637,473.75164971786205,-23.326932236197003,16.425017999942874,2,Northbound/Southbound,True,False,16.04019106192371,False,False,True,0.12471365898213839,n00092,True
