node_id,status,pano_id,pano_date,pano_lat,pano_lon,node_lat,node_lon,month,year,pano_offset_m,usable,typology,osm_name,northing_m
n00115,OK,8qkpS_wAtFPlMtItoWI0iw,2026-04,40.74703790529627,-73.98128158652486,40.747072,-73.981244,4,2026,4.939328738395012,True,avenue_canyon,Park Avenue,19.847069058990485
n00116,OK,_QvKtXNSgmC66-JeVbt0Mw,2026-04,40.74719766394756,-73.98115953886725,40.74722700000001,-73.98112300000001,4,2026,4.485903508263281,True,avenue_canyon,Park Avenue,39.77974939656684
n00117,OK,o3BPaXZcpDqtHL4tvYF4RA,2026-04,40.74735262955437,-73.98104143683527,40.74738500000001,-73.981008,4,2026,4.569855331109817,True,avenue_canyon,Park Avenue,59.75715498936063
n00118,OK,r-V4vI2DSV0zXG9tXYkPoQ,2026-04,40.74751433211827,-73.98091822324848,40.74754200000001,-73.980893,4,2026,3.7375782292915622,True,avenue_canyon,Park Avenue,79.63788011997133
n00119,OK,bzsGuvb1V6d5Ae1PFlPRYQ,2026-04,40.74767115655597,-73.98080047976896,40.74770000000001,-73.980778,4,2026,3.72227218822407,True,avenue_canyon,Park Avenue,99.61528571218406
n00120,OK,CpacIjUi98DrNT3JKZAY6A,2026-04,40.74783567878912,-73.98068757868013,40.747857,-73.980663,4,2026,3.1478237404320715,True,avenue_canyon,Park Avenue,119.49601084083986
n00121,OK,sXujW_LuO-PxH_eBFnLMkA,2026-04,40.74800256877816,-73.9805780851859,40.74801500000001,-73.980549,4,2026,2.8168473557946747,True,avenue_canyon,Park Avenue,139.43253041311888
n00122,OK,CK5iy91aho4M-3TdIMIG6g,2026-04,40.74816516169143,-73.9804622246802,40.74817299999999,-73.980436,4,2026,2.3789659640393275,True,avenue_canyon,Park Avenue,159.3281639594935
n00123,OK,ycmLfsklx-lHAxyi4i4tAQ,2026-04,40.74833344165064,-73.98033757591574,40.74833099999999,-73.980322,4,2026,1.3426932327085326,True,avenue_canyon,Park Avenue,179.26468353050458
n00124,OK,O890ExPfNmVwnilQPlTTLQ,2026-04,40.74849216460628,-73.9802157070096,40.74848899999999,-73.980207,4,2026,0.8147517846413187,True,avenue_canyon,Park Avenue,199.24208912329837
n00125,OK,5RZedEt508cAsB3t7HH9_Q,2026-04,40.74864672425881,-73.98009850115285,40.748646,-73.980092,4,2026,0.554736563712534,True,avenue_canyon,Park Avenue,219.12281425332804
n00126,OK,vifgrIr5Ir0Vydl0d_l-NA,2026-04,40.74880188531284,-73.9799807571712,40.748804,-73.979977,4,2026,0.39463245741060143,True,avenue_canyon,Park Avenue,239.10021984622776
n00127,OK,BlyC9bZWbJJSM1eXcNAjlw,2026-04,40.74893938375341,-73.97985808095828,40.748962,-73.979863,4,2026,2.544853494272714,True,avenue_canyon,Park Avenue,259.03673941713294
n00128,OK,T_ZgIriK3mHpGJhM4lG54g,2026-04,40.74910061373528,-73.97976132093684,40.74911899999999,-73.979748,4,2026,2.33047680364005,True,avenue_canyon,Park Avenue,278.9174645464756
n00129,OK,2w6zsmnFi4KyKUdg4_2JEg,2026-04,40.74925965302707,-73.97964913664345,40.749277000000006,-73.979633,4,2026,2.3589501452336696,True,avenue_canyon,Park Avenue,298.89487014006227
n00130,OK,UUWYSVfhqWuFZa_McMSDug,2026-04,40.74941773811929,-73.97953766969076,40.749434,-73.979517,4,2026,2.5108647140527602,True,avenue_canyon,Park Avenue,318.8164812911877
n00131,OK,0oBFciNUutslp3SuqHhGgg,2026-04,40.74957696501957,-73.97942575429431,40.749591,-73.979401,4,2026,2.6068046045986204,True,avenue_canyon,Park Avenue,338.738092444374
n00132,OK,jQ56E4EJ86hvjfTXD6QcwQ,2026-04,40.74973399292357,-73.97930738216951,40.749749,-73.979287,4,2026,2.3951452699304694,True,avenue_canyon,Park Avenue,358.6746120140112
